GENE	TEST_STAT_WEIGHTEDZ	META_PVAL	-log10	AMP_NIH_PVAL	UKB_ALL_PVAL	AMP_NIH_NUMVAR	UKB_ALL_NUMVAR	TEST	VARIANT_GROUP	MAF	MIN_NUMVAR	META_ANALYSIS_GROUP
RAP1A	1.1157655142188638	0.26452251896796675	0.5775373502933272	NA	0.264521	NA	2.0	CMCWald	ALL_LOF_HC_LOFTEE	0.01	2	INITIAL-DISCOVERY
KIF9	-1.1157472994874578	0.2645303178715085	0.577524546200664	NA	0.264531	NA	16.0	CMCWald	ALL_LOF_HC_LOFTEE	0.01	2	INITIAL-DISCOVERY
SAR1B	1.115551455092934	0.26461418152603156	0.5773868842851078	NA	0.264614	NA	5.0	CMCWald	ALL_LOF_HC_LOFTEE	0.01	2	INITIAL-DISCOVERY
FOXD4L3	1.115293271082343	0.264724767987756	0.5772054236506958	NA	0.264725	NA	2.0	CMCWald	ALL_LOF_HC_LOFTEE	0.01	2	INITIAL-DISCOVERY
MYBPC2	-1.1152614072751794	0.26473841823547983	0.5771830303005305	0.547057	0.32954	3.0	23.0	CMCWald	ALL_LOF_HC_LOFTEE	0.01	2	INITIAL-DISCOVERY
ADH7	1.1151321077717866	0.26479381427977355	0.5770921644571823	NA	0.264794	NA	8.0	CMCWald	ALL_LOF_HC_LOFTEE	0.01	2	INITIAL-DISCOVERY
TUSC1	-1.1149668951097689	0.2648646082943359	0.5769760690691021	NA	0.264866	NA	5.0	CMCWald	ALL_LOF_HC_LOFTEE	0.01	2	INITIAL-DISCOVERY
PRAMEF14	-1.1149177806695847	0.2648856564623887	0.5769415580783488	NA	0.264886	NA	11.0	CMCWald	ALL_LOF_HC_LOFTEE	0.01	2	INITIAL-DISCOVERY
TMF1	1.1146811532284895	0.2649870801478129	0.5767753002416698	NA	0.264987	NA	9.0	CMCWald	ALL_LOF_HC_LOFTEE	0.01	2	INITIAL-DISCOVERY
HSPA5	1.1146058677978083	0.2650193547368048	0.5767224077671653	NA	0.265021	NA	2.0	CMCWald	ALL_LOF_HC_LOFTEE	0.01	2	INITIAL-DISCOVERY
ARHGAP11A	-1.1142706939399734	0.26516307541532624	0.5764869525894891	NA	0.265163	NA	17.0	CMCWald	ALL_LOF_HC_LOFTEE	0.01	2	INITIAL-DISCOVERY
PEX7	1.1138664985716393	0.26533646353993556	0.5762030635268331	0.265336	NA	3.0	NA	CMCWald	ALL_LOF_HC_LOFTEE	0.01	2	INITIAL-DISCOVERY
IQANK1	-1.1136602079477447	0.26542498634599543	0.5760581963117816	NA	0.265424	NA	7.0	CMCWald	ALL_LOF_HC_LOFTEE	0.01	2	INITIAL-DISCOVERY
ENTPD2	-1.1132647526056803	0.2655947398090469	0.575780530563534	NA	0.265594	NA	20.0	CMCWald	ALL_LOF_HC_LOFTEE	0.01	2	INITIAL-DISCOVERY
