GENE	TEST_STAT	META_PVAL	-log10	AMP_NIH_PVAL	UKB_ALL_PVAL	AMP_NIH_NUMVAR	UKB_ALL_NUMVAR	TEST	VARIANT_GROUP	MAF	MIN_NUMVAR	META_ANALYSIS_GROUP
ECEL1	0.9035588853957077	0.9240496853137962	0.034304676531531166	0.876771	0.725953	25.0	151.0	SkatO	ALL_MISSENSE_SNPEFF	0.001	3	INITIAL-DISCOVERY
DCTN2	0.9029227278666383	0.924141132842764	0.034261699197311486	0.866961	0.734401	10.0	59.0	SkatO	ALL_MISSENSE_SNPEFF	0.001	3	INITIAL-DISCOVERY
HMCN2	0.9022674821862838	0.9242352873480377	0.034217454116411944	0.869421	0.732563	128.0	871.0	SkatO	ALL_MISSENSE_SNPEFF	0.001	3	INITIAL-DISCOVERY
N4BP1	0.9021250988912566	0.9242557419319425	0.03420784269522664	1.0	0.636951	11.0	119.0	SkatO	ALL_MISSENSE_SNPEFF	0.001	3	INITIAL-DISCOVERY
DNPEP	0.9020067290279419	0.9242727454310442	0.03419985306900923	0.750123	0.849179	9.0	104.0	SkatO	ALL_MISSENSE_SNPEFF	0.001	3	INITIAL-DISCOVERY
TEPP	0.9019786202212943	0.9242767830023626	0.034197955911354654	0.826276	0.770926	11.0	50.0	SkatO	ALL_MISSENSE_SNPEFF	0.001	3	INITIAL-DISCOVERY
SMARCE1	0.1572835455491519	0.924371	0.034153687963087716	NA	0.924371	NA	43.0	SkatO	ALL_MISSENSE_SNPEFF	0.001	3	INITIAL-DISCOVERY
CFAP97D1	0.9010546593969367	0.9244094629981963	0.03413561738282056	1.0	0.637292	3.0	23.0	SkatO	ALL_MISSENSE_SNPEFF	0.001	3	INITIAL-DISCOVERY
HMGA2	0.9007329658227263	0.9244556403891531	0.03411392344090056	0.691381	0.921915	3.0	24.0	SkatO	ALL_MISSENSE_SNPEFF	0.001	3	INITIAL-DISCOVERY
FOXP2	0.9006993649592103	0.9244604630905646	0.0341116578187807	0.786552	0.810379	11.0	97.0	SkatO	ALL_MISSENSE_SNPEFF	0.001	3	INITIAL-DISCOVERY
C21orf62	0.9006151242608393	0.9244725536467095	0.03410597793555137	0.704239	0.905136	11.0	36.0	SkatO	ALL_MISSENSE_SNPEFF	0.001	3	INITIAL-DISCOVERY
CEP70	0.9003647113526798	0.9245084902208486	0.03408909614446885	0.76047	0.838313	7.0	91.0	SkatO	ALL_MISSENSE_SNPEFF	0.001	3	INITIAL-DISCOVERY
IL17B	0.900306247725577	0.9245168795022791	0.034085155237337884	0.883737	0.721403	5.0	48.0	SkatO	ALL_MISSENSE_SNPEFF	0.001	3	INITIAL-DISCOVERY
NIPAL2	0.9001033989788967	0.9245459851104645	0.034071483008804936	0.751648	0.848263	9.0	54.0	SkatO	ALL_MISSENSE_SNPEFF	0.001	3	INITIAL-DISCOVERY
PTPMT1	0.8996689513676183	0.9246083093802959	0.03404220791092118	0.708279	0.900399	9.0	88.0	SkatO	ALL_MISSENSE_SNPEFF	0.001	3	INITIAL-DISCOVERY
FNTB	0.8994473750804888	0.9246400895318885	0.034027280825430474	0.876748	0.727466	8.0	67.0	SkatO	ALL_MISSENSE_SNPEFF	0.001	3	INITIAL-DISCOVERY
ENTPD2	0.8993680860466027	0.9246514607199885	0.03402193992151091	0.814565	0.783031	11.0	116.0	SkatO	ALL_MISSENSE_SNPEFF	0.001	3	INITIAL-DISCOVERY
ARHGAP32	0.899095096932414	0.9246906070662921	0.034003553877646954	0.861748	0.740259	35.0	310.0	SkatO	ALL_MISSENSE_SNPEFF	0.001	3	INITIAL-DISCOVERY
HRH4	0.899061966590271	0.9246953574767323	0.0340013227835644	0.828463	0.770013	4.0	49.0	SkatO	ALL_MISSENSE_SNPEFF	0.001	3	INITIAL-DISCOVERY
CAMKK1	0.898823940027224	0.924729484199451	0.033985295046691955	0.871188	0.732337	17.0	105.0	SkatO	ALL_MISSENSE_SNPEFF	0.001	3	INITIAL-DISCOVERY
CYP21A2	0.898774431033032	0.9247365818566321	0.033981961681019794	0.638019	1.0	7.0	96.0	SkatO	ALL_MISSENSE_SNPEFF	0.001	3	INITIAL-DISCOVERY
APOL4	0.898568014265496	0.9247661716436459	0.033968065317580946	0.740108	0.862151	21.0	97.0	SkatO	ALL_MISSENSE_SNPEFF	0.001	3	INITIAL-DISCOVERY
CETN3	0.8977026498763716	0.9248901806388652	0.03390983134093515	1.0	0.638361	4.0	33.0	SkatO	ALL_MISSENSE_SNPEFF	0.001	3	INITIAL-DISCOVERY
OR13C3	0.8975961299148187	0.9249054406784855	0.0339026658455426	0.638395	1.0	10.0	55.0	SkatO	ALL_MISSENSE_SNPEFF	0.001	3	INITIAL-DISCOVERY
C1orf116	0.8975491376176373	0.924912172473238	0.033899504905465526	1.0	0.63841	26.0	119.0	SkatO	ALL_MISSENSE_SNPEFF	0.001	3	INITIAL-DISCOVERY
KLHL33	0.8975272082568075	0.9249153138568432	0.0338980298646032	0.638417	1.0	24.0	166.0	SkatO	ALL_MISSENSE_SNPEFF	0.001	3	INITIAL-DISCOVERY
ZNF321P	0.8970699319061739	0.9249808091082341	0.033867277622973306	0.712174	0.896639	7.0	34.0	SkatO	ALL_MISSENSE_SNPEFF	0.001	3	INITIAL-DISCOVERY
NUSAP1	0.8968354855994911	0.9250143814892354	0.03385151509570953	0.853835	0.747964	15.0	86.0	SkatO	ALL_MISSENSE_SNPEFF	0.001	3	INITIAL-DISCOVERY
ADIPOR2	0.1557112022712826	0.925098	0.03381225795846956	NA	0.925098	NA	22.0	SkatO	ALL_MISSENSE_SNPEFF	0.001	3	INITIAL-DISCOVERY
OR51E1	0.8957392082473186	0.9251713025997688	0.03377784684376245	0.638988	1.0	11.0	73.0	SkatO	ALL_MISSENSE_SNPEFF	0.001	3	INITIAL-DISCOVERY
NEK9	0.8955963285645223	0.9251917465891611	0.03376825011971908	0.805768	0.793074	19.0	137.0	SkatO	ALL_MISSENSE_SNPEFF	0.001	3	INITIAL-DISCOVERY
MYOM1	0.8955083963990624	0.9252043274986018	0.033762344552123034	0.809603	0.789352	53.0	323.0	SkatO	ALL_MISSENSE_SNPEFF	0.001	3	INITIAL-DISCOVERY
IFT52	0.8950525758967529	0.9252695331581189	0.03373173784242458	0.846342	0.755259	3.0	68.0	SkatO	ALL_MISSENSE_SNPEFF	0.001	3	INITIAL-DISCOVERY
RSL24D1	0.8944529742237938	0.9253552789462516	0.033691493139753836	0.713717	0.895872	6.0	29.0	SkatO	ALL_MISSENSE_SNPEFF	0.001	3	INITIAL-DISCOVERY
HTR3D	0.8935269986183506	0.9254876352821972	0.0336293791418535	0.778023	0.822206	11.0	72.0	SkatO	ALL_MISSENSE_SNPEFF	0.001	3	INITIAL-DISCOVERY
UBR3	0.8934100434826456	0.925504347124826	0.033621537010601416	0.828106	0.772525	13.0	197.0	SkatO	ALL_MISSENSE_SNPEFF	0.001	3	INITIAL-DISCOVERY
SLC22A4	0.892973665952645	0.9255666908849881	0.03359228308087773	0.814094	0.785993	7.0	63.0	SkatO	ALL_MISSENSE_SNPEFF	0.001	3	INITIAL-DISCOVERY
C1orf87	0.892717960423102	0.925603214822303	0.03357514565401443	1.0	0.639954	15.0	89.0	SkatO	ALL_MISSENSE_SNPEFF	0.001	3	INITIAL-DISCOVERY
RASD2	0.1545419383177133	0.925639	0.033558355517007796	NA	0.925639	NA	38.0	SkatO	ALL_MISSENSE_SNPEFF	0.001	3	INITIAL-DISCOVERY
OR5AP2	0.8924058695412662	0.9256477847656556	0.03355423387007502	0.841096	0.760976	11.0	53.0	SkatO	ALL_MISSENSE_SNPEFF	0.001	3	INITIAL-DISCOVERY
MED13L	0.8918868233938292	0.9257218910365986	0.03351946615730233	0.64022	1.0	26.0	264.0	SkatO	ALL_MISSENSE_SNPEFF	0.001	3	INITIAL-DISCOVERY
CDK5RAP1	0.8918432536081913	0.9257281105805215	0.03351654832144037	0.755531	0.847396	15.0	86.0	SkatO	ALL_MISSENSE_SNPEFF	0.001	3	INITIAL-DISCOVERY
LARGE1	0.8912646523326442	0.9258106893750824	0.0334778091766548	0.702738	0.91132	14.0	119.0	SkatO	ALL_MISSENSE_SNPEFF	0.001	3	INITIAL-DISCOVERY
CSGALNACT1	0.8905673660883002	0.9259101675728154	0.03343114681691024	0.918422	0.697547	23.0	163.0	SkatO	ALL_MISSENSE_SNPEFF	0.001	3	INITIAL-DISCOVERY
CNTNAP3	0.8901304599004408	0.9259724766937416	0.03340192195486569	0.77306	0.828891	8.0	115.0	SkatO	ALL_MISSENSE_SNPEFF	0.001	3	INITIAL-DISCOVERY
MARCKSL1	0.15364978081011954	0.926052	0.03336462597573954	NA	0.926052	NA	36.0	SkatO	ALL_MISSENSE_SNPEFF	0.001	3	INITIAL-DISCOVERY
KAT14	0.8894274507466435	0.926072700309199	0.03335491817360539	0.889372	0.720742	17.0	121.0	SkatO	ALL_MISSENSE_SNPEFF	0.001	3	INITIAL-DISCOVERY
RAB38	0.8882287630009806	0.9262434882726768	0.03327483220255865	0.829318	0.773397	5.0	49.0	SkatO	ALL_MISSENSE_SNPEFF	0.001	3	INITIAL-DISCOVERY
OR52Z1	0.1531401551446867	0.926288	0.03325396216857267	0.926288	NA	12.0	NA	SkatO	ALL_MISSENSE_SNPEFF	0.001	3	INITIAL-DISCOVERY
SRD5A1	0.8877010225498225	0.9263186396695224	0.0332395968531115	0.732233	0.876171	11.0	52.0	SkatO	ALL_MISSENSE_SNPEFF	0.001	3	INITIAL-DISCOVERY
