GENE,META_PVAL,AMP_NIH_PVAL,GNE_PVAL,UKB_CASE_PVAL,UKB_SIBLING_PROXY_PVAL,UKB_PARENT_PROXY_PVAL,MAF,AMP_NIH_SIG,GNE_SIG,UKB_CASE_SIG,UKB_SIBLING_PROXY_SIG,UKB_PARENT_PROXY_SIG,SIG_DATASET
MRPL47,0.021055049543957,0.0402105,0.0066827650746952,0.281042,0.363614,1.0,0.001,1,1,0,0,0,2
LSR,0.0210840260348406,0.248324,0.0496706752419597,0.0136012,0.506814,0.323643,0.001,0,1,1,0,0,2
RPS6KC1,0.0212396785315986,0.327214,0.0352876724907721,0.0135242,0.302422,0.589201,0.001,0,1,1,0,0,2
PCDHB2,0.0214406296046739,0.489136,0.0212287846419671,0.0870572,0.795765,0.0392364,0.001,0,1,0,0,1,2
NFE2L1,0.0214809736996386,0.704377,0.0455129982919449,0.00455735,0.481572,0.402305,0.001,0,1,1,0,0,2
TLX1,0.0215893905223116,1.0,0.0388321406106525,0.0013966,0.868995,0.605202,0.001,0,1,1,0,0,2
INHBA-AS1,0.0217870503755459,,,0.0281668,0.503109,0.0429189,0.001,0,0,1,0,1,2
LOC100288123,0.0220088815638876,0.0218237,,0.568901,0.788366,0.0132719,0.001,1,0,0,0,1,2
ARL11,0.0221983491872424,0.33691,0.0111621018790855,0.0492743,1.0,0.160552,0.001,0,1,1,0,0,2
TSSK4,0.0228407410104571,0.0202752,0.332647573138749,0.479344,0.00960987,1.0,0.001,1,0,0,1,0,2
C21orf58,0.0229559915596138,0.160736,0.709848648740699,0.010712,0.624294,0.0410298,0.001,0,0,1,0,1,2
SERINC1,0.0230440781408533,0.0408686,0.263421262827399,0.0452089,0.626354,0.103296,0.001,1,0,1,0,0,2
INSL5,0.0230540177641295,,0.466639898420386,0.0114293,0.0307272,0.846684,0.001,0,0,1,1,0,2
OR2V1,0.0233379594075082,0.0288402,0.899168572184812,0.011017,0.159814,0.703114,0.001,1,0,1,0,0,2
LYPD3,0.0235778530563021,0.786514,0.622292923925718,0.00226932,0.0466774,0.628932,0.001,0,0,1,1,0,2
ZNF782,0.023641244906936,0.897027,0.917320768090194,0.027667,0.375878,0.00382603,0.001,0,0,1,0,1,2
TNFAIP1,0.0236603884091269,0.0279993,0.0623846185079344,0.913171,0.860319,0.0238882,0.001,1,0,0,0,1,2
SERPINB12,0.0238387315692814,0.0202345,1.0,0.473636,0.00409129,0.845655,0.001,1,0,0,1,0,2
NIPA2,0.0242546114246952,0.364169,0.0053008325029503,0.0409951,0.503328,0.85471,0.001,0,1,1,0,0,2
EP400,0.0248345218949962,0.0197971,0.460816956124702,0.006806,1.0,0.568463,0.001,1,0,1,0,0,2
PEAR1,0.0248595204498289,0.0373594,0.499071252377476,0.868707,0.00315686,0.691355,0.001,1,0,0,1,0,2
ABCC8,0.0248792422526042,0.633757,0.0078773492555118,0.871589,0.375162,0.0216813,0.001,0,1,0,0,1,2
C1QL3,0.0249330596205907,0.00297356,0.0491313293828333,0.859967,0.416226,0.679059,0.001,1,1,0,0,0,2
LRRC46,0.025127047612135,0.0325643,0.292082183513984,0.642312,0.415871,0.0141433,0.001,1,0,0,0,1,2
NEK8,0.0251911173212157,0.0347547,0.725269162999531,0.272375,0.295855,0.0177597,0.001,1,0,0,0,1,2
PSAP,0.0252256039188813,0.0387924,0.771520960879428,0.00120784,1.0,1.0,0.001,1,0,1,0,0,2
ERCC8,0.0254292826056171,0.496286,0.036106556761858,0.541081,0.0963609,0.0391714,0.001,0,1,0,0,1,2
OR1L4,0.0254950680659834,0.609675,0.0050389592247582,0.566149,0.0364244,0.579971,0.001,0,1,0,1,0,2
PHEX,0.0257327770615319,,,0.035832,0.0484852,0.435502,0.001,0,0,1,1,0,2
KIF7,0.0259287170549181,0.043209,0.216731739120009,0.843151,0.0201537,0.236939,0.001,1,0,0,1,0,2
IL6R,0.0260953236383912,,0.0087688238025124,0.032201,0.646695,0.906902,0.001,0,1,1,0,0,2
ARHGAP24,0.0262897764155601,0.339101,0.0053034612468804,0.0442821,0.756827,0.638989,0.001,0,1,1,0,0,2
SULF1,0.0266159776586696,0.0464972,0.0623523272539476,0.694567,0.75604,0.0257805,0.001,1,0,0,0,1,2
DBI,0.0268811375831645,0.173933,0.35312963276454,0.0421493,0.0326614,0.471307,0.001,0,0,1,1,0,2
TFG,0.0268931947779273,0.0223911,0.0457049727903067,0.148237,0.468293,0.561347,0.001,1,1,0,0,0,2
NUFIP2,0.0271077241069711,0.269915,0.270404235498224,0.0355337,0.017011,0.915039,0.001,0,0,1,1,0,2
SPINK4,0.0273166998617027,0.846575,0.0051976703333639,0.479094,0.019377,1.0,0.001,0,1,0,1,0,2
FAM89A,0.0278543468723279,,0.0445951780036237,0.350546,0.0188975,0.615613,0.001,0,1,0,1,0,2
AUTS2,0.0282499385213179,0.593597,0.0746870673105324,0.583341,0.0486796,0.0341706,0.001,0,0,0,1,1,2
SURF4,0.0283951788164311,0.483115,0.704886278676334,0.0233749,0.0276114,0.197282,0.001,0,0,1,1,0,2
ZNF705A,0.0286218895562235,1.0,0.0460170563535716,0.0101128,0.65375,0.144286,0.001,0,1,1,0,0,2
LOC101928961,0.0288904090587555,0.876297,,0.0120905,0.0357538,0.506024,0.001,0,0,1,1,0,2
KCNK12,0.029955205869752,0.367572,0.0478846344219013,0.214223,0.0331957,0.376288,0.001,0,1,0,1,0,2
DUSP1,0.0300078873530853,0.465081,0.379945711599729,0.0379722,0.00876338,0.803159,0.001,0,0,1,1,0,2
TMEM239,0.0303023617978504,0.279396,0.161002959858124,0.0443566,0.722209,0.0332726,0.001,0,0,1,0,1,2
HTR5A,0.0304022170584878,0.511209,0.665092050142588,0.669248,0.00573352,0.0369393,0.001,0,0,0,1,1,2
NUP210,0.0308824658456869,0.687164,0.453693601244031,0.00756168,0.0293255,0.714253,0.001,0,0,1,1,0,2
SEPT5-GP1BB,0.0312002590572584,0.824745,,0.510436,0.0340039,0.0149653,0.001,0,0,0,1,1,2
LDLRAD4,0.0312340885773394,0.262155,0.419839810742556,0.318433,0.0434856,0.0329739,0.001,0,0,0,1,1,2
C10orf62,0.0314033091320953,0.854755,0.476261087065901,0.365006,0.0227173,0.0150134,0.001,0,0,0,1,1,2
UNC79,0.0315659639179696,0.431793,0.478582240029925,0.0495936,0.738662,0.0067485,0.001,0,0,1,0,1,2
C12orf50,0.0319245994362086,0.613833,0.0059985513158482,0.590737,0.498259,0.0479731,0.001,0,1,0,0,1,2
HDHD2,0.0320767592572393,0.032297,0.915054339482754,0.0403604,0.227831,0.192744,0.001,1,0,1,0,0,2
CHMP2A,0.032186661601231,0.228171,0.0342797539922138,0.706197,0.437735,0.0217789,0.001,0,1,0,0,1,2
CENPP,0.0329995196460802,0.630397,0.328191581474214,0.624621,0.0121685,0.0348145,0.001,0,0,0,1,1,2
KHDC3L,0.0333947163263969,0.254041,0.272633041218602,0.586952,0.0323866,0.0423619,0.001,0,0,0,1,1,2
ANGEL2,0.0334147967699029,0.777625,0.0256583608096272,0.0153223,0.305089,0.598527,0.001,0,1,1,0,0,2
NUP58,0.0336711096938893,0.304235,0.0257927533599207,0.225235,0.0417987,0.764737,0.001,0,1,0,1,0,2
AGPAT1,0.0337755124986933,0.0236361,0.0064718683844616,0.878216,0.526788,0.802188,0.001,1,1,0,0,0,2
NOXO1,0.0344996224366629,0.678042,0.829645646092186,0.00337936,0.0431539,0.715362,0.001,0,0,1,1,0,2
FGL1,0.0347589914513057,0.843555,0.0266817998254835,0.432337,0.316803,0.0192612,0.001,0,1,0,0,1,2
ITFG1,0.0350889048200407,0.196531,0.39038693480673,0.0433102,0.578547,0.0313471,0.001,0,0,1,0,1,2
CADM4,0.0352435363736103,0.562144,0.0248624155923854,0.0137975,0.41062,0.766329,0.001,0,1,1,0,0,2
XPO7,0.0352762621884079,0.750975,0.588225903630038,0.00567966,0.0267273,0.906216,0.001,0,0,1,1,0,2
WFDC1,0.0355248669758419,0.200165,0.821845531805948,0.03496,0.0417523,0.255878,0.001,0,0,1,1,0,2
ASRGL1,0.0356249587453175,0.198829,0.034195293168475,0.0397878,0.445587,0.511979,0.001,0,1,1,0,0,2
PSMD2,0.0364559481002556,0.208649,1.0,0.793698,0.0279544,0.0138226,0.001,0,0,0,1,1,2
SLC25A29,0.0382318798445709,0.0215458,0.557480245098611,0.0421964,0.621703,0.218878,0.001,1,0,1,0,0,2
EFEMP1,0.0389722240292108,0.0455924,0.196061333559581,0.549865,0.467206,0.0309571,0.001,1,0,0,0,1,2
CNNM3,0.0390628626925345,0.0217341,0.318671505173225,0.440901,0.528145,0.044241,0.001,1,0,0,0,1,2
RHBDL1,0.0408788695266659,0.823045,0.005631593743888,0.0417313,0.492986,0.804104,0.001,0,1,1,0,0,2
NMRK2,0.0415532503049591,1.0,0.766720802268275,0.0350439,0.545688,0.00536728,0.001,0,0,1,0,1,2
IMPACT,0.0418435428870312,0.803655,0.126084766738735,0.0380613,0.763945,0.027007,0.001,0,0,1,0,1,2
SLC12A8,0.0418457774129444,0.04461,0.749940455918193,0.619786,0.0207866,0.184632,0.001,1,0,0,1,0,2
ATF6B,0.0434166106342888,0.0335466,0.0271319533468549,0.738765,0.197234,0.636298,0.001,1,1,0,0,0,2
NLRP2,0.0434985751216723,0.393313,0.477266518168171,0.0355508,0.791452,0.0160255,0.001,0,0,1,0,1,2
IRX3,0.0438549672451904,0.331703,0.033253810387474,0.642201,0.0286414,0.422653,0.001,0,1,0,1,0,2
ARPC5,0.0441260548676164,0.0478603,0.336585252075374,0.0216259,0.471877,0.526793,0.001,1,0,1,0,0,2
TPGS2,0.0443450068858733,0.044998,0.0214231237350067,0.608504,0.548186,0.271444,0.001,1,1,0,0,0,2
MAK16,0.0453273474574996,0.573673,0.559302045369163,0.824012,0.0238274,0.0143498,0.001,0,0,0,1,1,2
SFTPC,0.0457222792797937,0.017798,0.523996892437794,0.923516,0.0159571,0.666964,0.001,1,0,0,1,0,2
PPP1R16A,0.0457899513519577,0.516228,0.692190494963907,0.0217464,0.0187331,0.631198,0.001,0,0,1,1,0,2
BCO2,0.0460662146131968,0.00549255,0.8345118753903,0.670694,0.727371,0.0414887,0.001,1,0,0,0,1,2
SLC12A5,0.0461096677914701,0.0460496,0.220635190242994,0.917419,0.294821,0.0338101,0.001,1,0,0,0,1,2
RRAGC,0.046273504513929,0.192199,0.0400886066541903,0.376875,0.709247,0.0453708,0.001,0,1,0,0,1,2
NOXA1,0.0469912431084946,0.242557,0.0469199312281376,0.745569,0.551764,0.0204578,0.001,0,1,0,0,1,2
GCGR,0.0473881777444806,1.0,0.771299110931035,0.0407427,0.028229,0.109439,0.001,0,0,1,1,0,2
RDH10,0.0475914730935878,1.0,0.801658174719635,0.0254263,0.336896,0.0142351,0.001,0,0,1,0,1,2
CDCP2,0.0481197885575366,0.394277,0.0067741512952168,0.850886,0.0437838,1.0,0.001,0,1,0,1,0,2
SHMT1,0.048438612724712,0.19132,0.672016803772002,0.682847,0.0493396,0.0232166,0.001,0,0,0,1,1,2
YIPF3,0.048598904753627,0.0395764,0.768670394289132,0.140356,0.0236789,1.0,0.001,1,0,0,1,0,2
HAUS6,0.0496788836596458,0.00570818,0.921290737344095,0.0491527,0.889978,0.455343,0.001,1,0,1,0,0,2
