GENE	TEST_STAT	META_PVAL	-log10	AMP_NIH_PVAL	UKB_ALL_PVAL	AMP_NIH_NUMVAR	UKB_ALL_NUMVAR	TEST	VARIANT_GROUP	MAF	MIN_NUMVAR	META_ANALYSIS_GROUP
GOLGA8IP	2.188436739838377	0.701146813652453	0.15419103526693914	0.903023	0.370756	5.0	85.0	CMCWald	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	2	INITIAL-DISCOVERY
DNAJC5B	2.1881635522324205	0.7011968544878031	0.1541600407836818	0.820472	0.408115	7.0	36.0	CMCWald	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	2	INITIAL-DISCOVERY
LRRC3C	2.1880296576102887	0.7012213807007203	0.1541448504522019	0.667866	0.501402	15.0	74.0	CMCWald	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	2	INITIAL-DISCOVERY
LOC105371925	2.1877384935281334	0.7012747153108425	0.15411181944848276	0.462204	0.724611	18.0	93.0	CMCWald	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	2	INITIAL-DISCOVERY
CHPT1	2.1877288851365755	0.7012764753600976	0.15411072946376855	0.508363	0.65882	19.0	86.0	CMCWald	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	2	INITIAL-DISCOVERY
ZBTB2	2.18772675159951	0.7012768661779828	0.15411048743368536	0.350047	0.956786	10.0	46.0	CMCWald	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	2	INITIAL-DISCOVERY
TMEM130	2.1873341929434016	0.7013487750491488	0.1540659571968827	0.486608	0.68841	10.0	101.0	CMCWald	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	2	INITIAL-DISCOVERY
NEGR1	2.187097871834765	0.7013920649187523	0.15403915174435523	0.416997	0.803424	2.0	44.0	CMCWald	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	2	INITIAL-DISCOVERY
PHYHIPL	2.186916076591112	0.701425366906955	0.15401853199813956	0.885122	0.378542	5.0	54.0	CMCWald	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	2	INITIAL-DISCOVERY
MRPL41	2.186326121161145	0.7015334391102958	0.15395162317451688	0.376268	0.890734	5.0	19.0	CMCWald	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	2	INITIAL-DISCOVERY
CD2AP	2.185996631170818	0.7015937985972791	0.15391425836334496	0.346016	0.96877	18.0	107.0	CMCWald	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	2	INITIAL-DISCOVERY
COL11A1	2.18587350454773	0.7016163544611855	0.15390029625338075	0.846311	0.396108	36.0	265.0	CMCWald	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	2	INITIAL-DISCOVERY
B3GNT6	2.1855933643502845	0.7016676744614122	0.15386853077688378	0.844798	0.396873	17.0	93.0	CMCWald	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	2	INITIAL-DISCOVERY
DAPK1	2.1851876397412786	0.70174200185294	0.1538225285630331	0.517479	0.648037	28.0	252.0	CMCWald	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	2	INITIAL-DISCOVERY
