GENE	TEST_STAT	META_PVAL	-log10	AMP_NIH_PVAL	GNE_PVAL	UKB_CASE_PVAL	AMP_NIH_NUMVAR	GNE_NUMVAR	UKB_CASE_NUMVAR	TEST	VARIANT_GROUP	MAF	MIN_NUMVAR	META_ANALYSIS_GROUP
KIAA0368	2.3965146450956927	0.30171955389188004	0.5203965430826946	NA	0.30171955389188	NA	NA	105.0	NA	SkatO	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.001	4	META-GROUP2
MACF1	7.211579469883648	0.3017230461140461	0.5203915164146526	0.705787	0.790404771474677	0.048697	85.0	344.0	263.0	SkatO	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.001	4	META-GROUP2
ALDH3B1	7.210159968926935	0.3018484094502368	0.5202111082610807	0.324879	0.124786397914735	0.670571	18.0	44.0	35.0	SkatO	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.001	4	META-GROUP2
HERC5	7.210053238083027	0.3018578369944244	0.5201975442787863	0.186318	0.438020858630681	0.333125	16.0	38.0	32.0	SkatO	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.001	4	META-GROUP2
CCDC7	7.209104309871262	0.3019416657500889	0.5200769533671399	0.237523	0.148499927320576	0.771136	8.0	11.0	28.0	SkatO	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.001	4	META-GROUP2
NBN	7.208618185456408	0.30198461706397817	0.520015179209681	0.0670007	0.825378472800532	0.491967	10.0	41.0	28.0	SkatO	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.001	4	META-GROUP2
OR9K2	7.208469290818332	0.3019977735154318	0.5199962588757183	0.439549	0.0619004043088454	1.0	5.0	17.0	10.0	SkatO	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.001	4	META-GROUP2
MECR	4.85946543085471	0.3020235203104425	0.519959234714084	NA	0.243719844055785	0.361318	NA	25.0	19.0	SkatO	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.001	4	META-GROUP2
PHB2	7.207972879154547	0.3020416400039549	0.5199331802966947	0.846553	0.288297321527891	0.11151	11.0	17.0	22.0	SkatO	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.001	4	META-GROUP2
RAB11B-AS1	2.3943717752739238	0.302043	0.519931224813179	NA	NA	0.302043	NA	NA	5.0	SkatO	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.001	4	META-GROUP2
TARM1	2.393801013544303	0.30212920959324896	0.5198072854783511	NA	0.302129209593249	NA	NA	11.0	NA	SkatO	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.001	4	META-GROUP2
NACC2	7.206711607516615	0.302153116794108	0.5197729215230843	0.292862	1.0	0.0929864	14.0	22.0	15.0	SkatO	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.001	4	META-GROUP2
PLA2G7	7.204746838365064	0.3023268341479694	0.519523303681658	0.208639	0.76101177311451	0.171681	9.0	37.0	22.0	SkatO	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.001	4	META-GROUP2
IRAG1	4.856421538560206	0.30234930654566355	0.5194910231345639	0.120695	NA	0.730722	20.0	NA	47.0	SkatO	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.001	4	META-GROUP2
TNS3	7.204062120267794	0.3023873921368274	0.5194363204444827	0.685147	0.0611370359052452	0.650983	22.0	80.0	49.0	SkatO	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.001	4	META-GROUP2
MUL1	7.203585943633387	0.3024295116921211	0.5193758317565573	0.484436	0.573967370360977	0.0980929	4.0	23.0	15.0	SkatO	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.001	4	META-GROUP2
ZNF726	7.203297864916388	0.3024549954677412	0.5193392381159354	0.366648	0.0925904897711971	0.803541	5.0	28.0	13.0	SkatO	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.001	4	META-GROUP2
GZF1	7.202849992116203	0.30249461805402594	0.519282347855252	0.168463	0.30100719799366	0.538071	6.0	38.0	23.0	SkatO	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.001	4	META-GROUP2
FBXL13	7.201661900723956	0.3025997457052102	0.5191314412793568	0.164712	0.268007994583939	0.618452	15.0	29.0	36.0	SkatO	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.001	4	META-GROUP2
CTGF	2.390396390785167	0.302643965598034	0.5190679810397236	NA	0.302643965598034	NA	NA	11.0	NA	SkatO	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.001	4	META-GROUP2
NUDCD1	7.200634439646451	0.30269068245620095	0.5190009474614566	0.60533	0.407317302082529	0.110784	11.0	47.0	29.0	SkatO	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.001	4	META-GROUP2
FLJ22763	2.3898763661043203	0.302722666995068	0.518955059115051	NA	0.302722666995068	NA	NA	4.0	NA	SkatO	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.001	4	META-GROUP2
NIFK-AS1	2.3896759748641045	0.30275300000000005	0.5189115447101272	NA	NA	0.302753	NA	NA	6.0	SkatO	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.001	4	META-GROUP2
SCD5	7.199689105424244	0.30277436880936015	0.5188808925663206	0.083722	0.5738397545642	0.568823	6.0	29.0	10.0	SkatO	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.001	4	META-GROUP2
DNAJC21	7.19939318775547	0.30280056873474354	0.5188433134581973	0.146202	0.314925865275463	0.593622	16.0	45.0	35.0	SkatO	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.001	4	META-GROUP2
OR6C74	7.197590672907736	0.3029601968005387	0.5186144257728909	1.0	0.0335431156164006	0.815567	5.0	14.0	12.0	SkatO	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.001	4	META-GROUP2
PLEKHA5	7.1966897672281736	0.30304000364308514	0.5185000374558209	0.773791	0.245371074671123	0.144149	10.0	44.0	45.0	SkatO	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.001	4	META-GROUP2
SERINC4	7.195849534769227	0.30311445013354277	0.5183933593642422	0.732647	0.748081873903935	0.0499571	14.0	31.0	27.0	SkatO	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.001	4	META-GROUP2
LOC550113	4.8490005529273645	0.3031447938641182	0.5183498858340958	0.134745	NA	0.656962	4.0	NA	5.0	SkatO	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.001	4	META-GROUP2
PDC-AS1	2.38702210623068	0.3031550000000001	0.5183352644585308	NA	NA	0.303155	NA	NA	14.0	SkatO	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.001	4	META-GROUP2
ZMYM3	2.3866658845543087	0.30320899999999995	0.51825791190434	NA	NA	0.303209	NA	NA	12.0	SkatO	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.001	4	META-GROUP2
HARS	2.3861976207277973	0.303279999214553	0.5181562297063755	NA	0.303279999214553	NA	NA	39.0	NA	SkatO	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.001	4	META-GROUP2
MZT2B	4.846342086538117	0.30343018856324544	0.5179412130212295	NA	0.616970068678386	0.14367	NA	13.0	11.0	SkatO	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.001	4	META-GROUP2
ACP2	7.192266456167312	0.3034320749151343	0.5179385131261609	0.190819	0.411090983764619	0.349671	10.0	36.0	18.0	SkatO	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.001	4	META-GROUP2
ACTL6A	4.846057762860898	0.3034607247933685	0.5178975092320974	NA	0.258354947939808	0.343143	NA	15.0	12.0	SkatO	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.001	4	META-GROUP2
MED4	7.1918938493382685	0.30346511943936344	0.5178912199283096	0.249183	0.386803441830328	0.284637	4.0	17.0	9.0	SkatO	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.001	4	META-GROUP2
AP4B1-AS1	4.8456243801586165	0.3035072747981365	0.5178308948133585	0.613362	NA	0.144567	22.0	NA	56.0	SkatO	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.001	4	META-GROUP2
DEAF1	7.1907801500784885	0.3035639038111988	0.5177498708121326	0.741675	0.0865862766216474	0.427444	12.0	40.0	38.0	SkatO	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.001	4	META-GROUP2
TGFB1I1	7.189182097045174	0.3037056926815826	0.5175470675580999	0.872936	0.111083025660764	0.283308	8.0	22.0	22.0	SkatO	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.001	4	META-GROUP2
PFN3	2.383350790068111	0.3037119999999999	0.5175380482831682	NA	NA	0.303712	NA	NA	4.0	SkatO	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.001	4	META-GROUP2
DZIP1	7.1884151821157065	0.3037737558335966	0.5174497491993091	1.0	0.169392766875483	0.162241	12.0	35.0	33.0	SkatO	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.001	4	META-GROUP2
DPEP2	4.842473871018541	0.30384585175451706	0.5173466884673004	NA	0.892487462610682	0.0995103	NA	25.0	18.0	SkatO	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.001	4	META-GROUP2
PSD3	7.186194107863564	0.30397093990487456	0.5171679336353703	0.893182	0.0966097431491625	0.318843	15.0	66.0	41.0	SkatO	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.001	4	META-GROUP2
KNOP1	7.185398799915205	0.30404156991826514	0.5170670336548118	0.0501014	0.862208123201395	0.63716	8.0	21.0	12.0	SkatO	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.001	4	META-GROUP2
LGR4	7.185179182266737	0.3040610760006754	0.5170391719639802	0.379242	0.160625247963494	0.451885	11.0	42.0	34.0	SkatO	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.001	4	META-GROUP2
RP11-77K12.1	2.3807209855351164	0.304111614266438	0.5169669934845862	NA	0.304111614266438	NA	NA	13.0	NA	SkatO	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.001	4	META-GROUP2
RASL11B	7.182479254310767	0.3043009568063225	0.5166966820977881	0.26025	0.388639877200531	0.272525	6.0	12.0	6.0	SkatO	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.001	4	META-GROUP2
OR5A1	7.18214728981234	0.30433046080198456	0.5166545764090266	0.512124	0.0711697801799479	0.75639	4.0	21.0	9.0	SkatO	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.001	4	META-GROUP2
SFTPB	7.181472345318853	0.30439045450787194	0.5165689708881881	0.500259	0.142366982910686	0.387221	4.0	18.0	15.0	SkatO	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.001	4	META-GROUP2
GGACT	7.180722641027647	0.3044571038937844	0.5164738881035396	0.0786897	0.825636996240091	0.424638	4.0	11.0	4.0	SkatO	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.001	4	META-GROUP2
ERGIC3	7.180304994840338	0.30449423781561386	0.5164209214500244	0.872104	0.515564469394674	0.0613713	8.0	23.0	21.0	SkatO	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.001	4	META-GROUP2
SLCO6A1	7.179362754593609	0.3045780272663166	0.51630143055084	0.409764	0.108605720008041	0.620347	8.0	32.0	15.0	SkatO	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.001	4	META-GROUP2
UNG	7.1791717557848465	0.3045950141158845	0.5162772098630123	0.418136	0.223588416217191	0.295322	6.0	24.0	16.0	SkatO	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.001	4	META-GROUP2
REG3A	4.834428004801053	0.3047119415795959	0.5161105255590782	NA	0.133031322646438	0.670291	NA	4.0	8.0	SkatO	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.001	4	META-GROUP2
TMEM78	2.376667549451465	0.304728587766273	0.5160868010226476	NA	0.304728587766273	NA	NA	4.0	NA	SkatO	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.001	4	META-GROUP2
ABCA11P	4.834255957811895	0.3047304837441782	0.5160840989125944	0.144989	NA	0.615063	7.0	NA	20.0	SkatO	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.001	4	META-GROUP2
TPBG	4.834081359171346	0.3047493018661214	0.5160572806104448	NA	0.458224519968722	0.194632	NA	16.0	12.0	SkatO	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.001	4	META-GROUP2
PTX4	7.176895751560524	0.3047974902542928	0.5159886133599931	0.268203	0.561669520212198	0.18349	8.0	18.0	19.0	SkatO	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.001	4	META-GROUP2
C7orf25	4.833414632932001	0.30482117002522635	0.5159548742554532	NA	0.784182641587636	0.113768	NA	15.0	15.0	SkatO	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.001	4	META-GROUP2
POC1B-GALNT4	7.175605638238232	0.30491230562773414	0.5158250480571247	0.12333	0.92024961521641	0.243704	17.0	39.0	38.0	SkatO	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.001	4	META-GROUP2
PDPR	4.832562056160481	0.304913091962485	0.5158239280616488	NA	0.499037909685268	0.17885	NA	22.0	32.0	SkatO	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.001	4	META-GROUP2
TSR2	2.3753001621753755	0.30493699999999996	0.5157898766483324	NA	NA	0.304937	NA	NA	5.0	SkatO	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.001	4	META-GROUP2
EIF5A	4.83160247971824	0.3050165777178389	0.5156765560114889	NA	0.102725593376364	0.869265	NA	4.0	26.0	SkatO	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.001	4	META-GROUP2
