GENE	TEST_STAT	META_PVAL	-log10	AMP_NIH_PVAL	GNE_PVAL	UKB_CASE_PVAL	AMP_NIH_NUMVAR	GNE_NUMVAR	UKB_CASE_NUMVAR	TEST	VARIANT_GROUP	MAF	MIN_NUMVAR	META_ANALYSIS_GROUP
ZBTB40	4.508228048126836	0.6082419312106064	0.21592364360380614	0.334705	1.0	0.313609	24.0	94.0	60.0	SkatO	ALL_MISSENSE_SNPEFF	0.01	4	META-GROUP2
PARD3	4.507934664634154	0.6082810496709627	0.21589571329464446	0.380885	0.436832153830761	0.630966	28.0	139.0	68.0	SkatO	ALL_MISSENSE_SNPEFF	0.01	4	META-GROUP2
ARL6IP4	4.50768061938989	0.608314923465213	0.21587152909174942	0.583218	0.802021792167898	0.224467	19.0	46.0	37.0	SkatO	ALL_MISSENSE_SNPEFF	0.01	4	META-GROUP2
MRPL43	4.507623064010911	0.6083225978311644	0.21586605016359456	0.153837	0.748327468212787	0.912073	28.0	35.0	67.0	SkatO	ALL_MISSENSE_SNPEFF	0.01	4	META-GROUP2
BRSK1	4.507454818409363	0.6083450316426786	0.2158500344822141	0.190995	0.747703985923426	0.735304	8.0	33.0	27.0	SkatO	ALL_MISSENSE_SNPEFF	0.01	4	META-GROUP2
AC009133.23	0.9939913855384053	0.6083556041335271	0.2158424868993485	NA	0.608355604133527	NA	NA	38.0	NA	SkatO	ALL_MISSENSE_SNPEFF	0.01	4	META-GROUP2
HORMAD2	4.505645966155871	0.6085862367983768	0.2156778734535435	0.149957	0.700881612162795	1.0	9.0	29.0	16.0	SkatO	ALL_MISSENSE_SNPEFF	0.01	4	META-GROUP2
DCAF7	2.70296927925298	0.6086951268146092	0.21560017517486468	NA	0.545990360414623	0.474103	NA	7.0	4.0	SkatO	ALL_MISSENSE_SNPEFF	0.01	4	META-GROUP2
OR56A3	4.504767734067581	0.6087033553117764	0.21559430431012055	0.492189	0.335009559832426	0.637695	13.0	25.0	11.0	SkatO	ALL_MISSENSE_SNPEFF	0.01	4	META-GROUP2
ZNF260	4.504596080319874	0.6087262472369668	0.2155779718063427	0.602964	0.731601432351551	0.238382	7.0	29.0	9.0	SkatO	ALL_MISSENSE_SNPEFF	0.01	4	META-GROUP2
