COHORT	VARIANT_GROUP	MAF	TEST	MIN_NUMVAR	LAMBDA	LAMBDA1000
GENENTECH	ALL_MISSENSE_SNPEFF	0.001	SkatO	3	0.9759994433666506	0.9942220882178974
GENENTECH	ALL_MISSENSE_SNPEFF	0.001	CMCWald	4	0.9811189369965253	0.9954545589065709
GENENTECH	ALL_MISSENSE_SNPEFF	0.001	SkatO	4	0.9709722852679777	0.993011846453402
GENENTECH	ALL_MISSENSE_SNPEFF	0.01	CMCWald	1	0.9861014473225187	0.9966540521331989
GENENTECH	ALL_MISSENSE_SNPEFF	0.01	SkatO	1	0.9997599573378073	0.9999422119516943
GENENTECH	ALL_MISSENSE_SNPEFF	0.01	CMCWald	2	0.9861014473225187	0.9966540521331989
GENENTECH	ALL_MISSENSE_SNPEFF	0.01	SkatO	2	0.9997599573378073	0.9999422119516943
GENENTECH	ALL_MISSENSE_SNPEFF	0.01	CMCWald	3	0.9914948815235474	0.997952471477891
GENENTECH	ALL_MISSENSE_SNPEFF	0.01	SkatO	3	1.002668408805596	1.0006423947124583
GENENTECH	ALL_MISSENSE_SNPEFF	0.01	CMCWald	4	0.9913854189095529	0.9979261193671146
GENENTECH	ALL_MISSENSE_SNPEFF	0.01	SkatO	4	0.9965738058822755	0.9991751754901774
GENENTECH	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	CMCWald	1	0.99086334230307	0.9978004342581465
GENENTECH	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	SkatO	1	0.9798288188379022	0.995143974905421
GENENTECH	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	CMCWald	2	0.99086334230307	0.9978004342581465
GENENTECH	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	SkatO	2	0.9798288188379022	0.995143974905421
GENENTECH	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	CMCWald	3	0.9967595203179791	0.999219884520995
GENENTECH	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	SkatO	3	0.98076218014832	0.9953686729986696
GENENTECH	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	CMCWald	4	0.9993927700309486	0.9998538150074506
GENENTECH	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	SkatO	4	0.9783027118198497	0.9947765787714453
GENENTECH	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.01	CMCWald	1	0.985518239696499	0.9965136502973053
GENENTECH	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.01	SkatO	1	0.9953792553527973	0.9988875985108586
GENENTECH	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.01	CMCWald	2	0.985518239696499	0.9965136502973053
GENENTECH	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.01	SkatO	2	0.9953792553527973	0.9988875985108586
GENENTECH	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.01	CMCWald	3	0.9931566761043207	0.9983525331362253
GENENTECH	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.01	SkatO	3	0.9968120072408245	0.99923252026168
GENENTECH	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.01	CMCWald	4	0.9957335404947446	0.9989728893783645
GENENTECH	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.01	SkatO	4	0.9928373827668218	0.9982756662216423
UKB_EXOM_ALL_PD	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.001	CMCWald	1	0.9870884501353332	0.9990033116110272
UKB_EXOM_ALL_PD	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.001	SkatO	1	1.0099736323686166	1.000769900103541
UKB_EXOM_ALL_PD	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.001	CMCWald	2	0.9992257411591764	0.9999402322103236
UKB_EXOM_ALL_PD	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.001	SkatO	2	1.0135733521773522	1.0010477752598568
UKB_EXOM_ALL_PD	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.001	CMCWald	3	1.005211943695225	1.0004023284438708
