GENE	TEST_STAT	META_PVAL	-log10	AMP_NIH_PVAL	GNE_PVAL	UKB_ALL_PVAL	AMP_NIH_NUMVAR	GNE_NUMVAR	UKB_ALL_NUMVAR	TEST	VARIANT_GROUP	MAF	MIN_NUMVAR	META_ANALYSIS_GROUP
KCTD19	7.007658305997914	0.030081974121975403	1.5216936666791916	NA	0.0300819741219754	NA	NA	8.0	NA	CMCWald	ALL_LOF_HC_LOFTEE	0.001	4	META-GROUP1
SEL1L	6.992548577353387	0.030310099999999993	1.518412630792505	NA	NA	0.0303101	NA	NA	5.0	CMCWald	ALL_LOF_HC_LOFTEE	0.001	4	META-GROUP1
LNPK	6.983752405567999	0.0304437	1.5165025663583713	NA	NA	0.0304437	NA	NA	10.0	CMCWald	ALL_LOF_HC_LOFTEE	0.001	4	META-GROUP1
UTS2B	6.9790345014357955	0.03051559999999999	1.5154780864929893	NA	NA	0.0305156	NA	NA	4.0	CMCWald	ALL_LOF_HC_LOFTEE	0.001	4	META-GROUP1
GOLGA6C	6.9648495816348985	0.03073280000000001	1.5123978702951042	NA	NA	0.0307328	NA	NA	5.0	CMCWald	ALL_LOF_HC_LOFTEE	0.001	4	META-GROUP1
ALKBH6	6.958326494931083	0.030833199999999995	1.5109814000148825	NA	NA	0.0308332	NA	NA	6.0	CMCWald	ALL_LOF_HC_LOFTEE	0.001	4	META-GROUP1
CREB3L3	10.62578402854915	0.031107755424246077	1.507131324218581	NA	0.0168134600402332	0.293078	NA	7.0	12.0	CMCWald	ALL_LOF_HC_LOFTEE	0.001	4	META-GROUP1
MBD4	6.9314297426021385	0.031250657241244394	1.505140844456093	NA	0.0312506572412444	NA	NA	8.0	NA	CMCWald	ALL_LOF_HC_LOFTEE	0.001	4	META-GROUP1
COL8A1	6.925994512635481	0.031335699999999994	1.503960599264896	NA	NA	0.0313357	NA	NA	7.0	CMCWald	ALL_LOF_HC_LOFTEE	0.001	4	META-GROUP1
TCIRG1	6.9130905952135135	0.031538530265214186	1.5011585491992478	NA	0.0315385302652142	NA	NA	8.0	NA	CMCWald	ALL_LOF_HC_LOFTEE	0.001	4	META-GROUP1
RXFP2	6.909249289649623	0.03159916303972101	1.5003244202943968	NA	0.031599163039721	NA	NA	5.0	NA	CMCWald	ALL_LOF_HC_LOFTEE	0.001	4	META-GROUP1
CD300C	6.897685203061072	0.03178240000000001	1.4978133107975673	NA	NA	0.0317824	NA	NA	4.0	CMCWald	ALL_LOF_HC_LOFTEE	0.001	4	META-GROUP1
MFSD12	6.88945303331261	0.03191348865684861	1.4960257178496434	NA	0.0319134886568486	NA	NA	9.0	NA	CMCWald	ALL_LOF_HC_LOFTEE	0.001	4	META-GROUP1
EVI5	6.880103737437049	0.032063022216855	1.4939955440454251	NA	0.032063022216855	NA	NA	9.0	NA	CMCWald	ALL_LOF_HC_LOFTEE	0.001	4	META-GROUP1
GALNT14	6.878670094385451	0.0320860139208519	1.493684232412261	NA	0.0320860139208519	NA	NA	6.0	NA	CMCWald	ALL_LOF_HC_LOFTEE	0.001	4	META-GROUP1
LOC105371046	6.856596633869893	0.03244210000000001	1.4888910413630527	NA	NA	0.0324421	NA	NA	12.0	CMCWald	ALL_LOF_HC_LOFTEE	0.001	4	META-GROUP1
TDRD12	10.519802670166218	0.032525303892883994	1.4877786370143071	NA	0.262661759951363	0.0197814	NA	15.0	46.0	CMCWald	ALL_LOF_HC_LOFTEE	0.001	4	META-GROUP1
ECHDC1	6.833273548182046	0.0328226394652318	1.4838264976554585	NA	0.0328226394652318	NA	NA	6.0	NA	CMCWald	ALL_LOF_HC_LOFTEE	0.001	4	META-GROUP1
KCNA3	6.809784398202254	0.03321040000000001	1.4787258935450476	NA	NA	0.0332104	NA	NA	5.0	CMCWald	ALL_LOF_HC_LOFTEE	0.001	4	META-GROUP1
MINK1	6.804503875021531	0.033298200000000014	1.4775792425055727	NA	NA	0.0332982	NA	NA	10.0	CMCWald	ALL_LOF_HC_LOFTEE	0.001	4	META-GROUP1
EME2	10.46051433748715	0.03334526293282266	1.476965853749188	NA	0.859972189911465	0.00622363	NA	8.0	8.0	CMCWald	ALL_LOF_HC_LOFTEE	0.001	4	META-GROUP1
KLRG2	10.45256197374284	0.03345674780444778	1.4755162773373884	NA	0.176143610215113	0.0305062	NA	8.0	10.0	CMCWald	ALL_LOF_HC_LOFTEE	0.001	4	META-GROUP1
USP4	10.435217513385616	0.03370114829660932	1.4723553011943926	NA	0.0207183586618177	0.261617	NA	11.0	18.0	CMCWald	ALL_LOF_HC_LOFTEE	0.001	4	META-GROUP1
STARD13	10.414533564538477	0.03399485413163705	1.4685868179980632	NA	0.100078797624082	0.0547231	NA	7.0	12.0	CMCWald	ALL_LOF_HC_LOFTEE	0.001	4	META-GROUP1
