GENE	TEST_STAT	META_PVAL	-log10	GNE_PVAL	UKB_ALL_PVAL	GNE_NUMVAR	UKB_ALL_NUMVAR	TEST	VARIANT_GROUP	MAF	MIN_NUMVAR	META_ANALYSIS_GROUP
CAMSAP1	17.411743445002173	0.0016073945738621562	2.7938775020686806	0.0003472341111088	0.476942	125.0	289.0	SkatO	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	2	META-GROUP1
CFAP52	17.35691116293657	0.0016474061797043902	2.7831993092358585	0.0097174486602633	0.0175163	66.0	103.0	SkatO	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	2	META-GROUP1
EVX1	17.350740252696927	0.0016519702174711422	2.7819977866188648	0.700344323059376	0.000243794	39.0	88.0	SkatO	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	2	META-GROUP1
ERLIN2	17.302266822586393	0.0016882579999900537	2.772561183652321	0.0007317958076203	0.23904	24.0	44.0	SkatO	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	2	META-GROUP1
DIAPH2	17.301814268993876	0.0016886004656139263	2.7724730953106187	0.0001749680565859	1.0	12.0	109.0	SkatO	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	2	META-GROUP1
H2BC21	12.754230526566575	0.0017000200000000004	2.769545969304935	NA	0.00170002	NA	16.0	SkatO	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	2	META-GROUP1
MYH14	17.23774267239392	0.001737784238985047	2.760004145974254	0.17016327306346	0.00106171	189.0	469.0	SkatO	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	2	META-GROUP1
TRRAP	17.199162640754267	0.0017680786414193364	2.752498422142568	0.0153526683074058	0.0119968	190.0	454.0	SkatO	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	2	META-GROUP1
PLEKHA1	17.13868503097798	0.0018166193320806158	2.740736068452568	0.0008287310601768	0.22907	54.0	98.0	SkatO	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	2	META-GROUP1
ZBTB43	17.119208323175855	0.0018325298390786092	2.7369489450133395	0.0002306448460122	0.831127	31.0	55.0	SkatO	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	2	META-GROUP1
MTR	17.10733665937336	0.0018422951313676371	2.734640795606449	0.0281516710389504	0.00684991	89.0	242.0	SkatO	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	2	META-GROUP1
XPNPEP1	17.071769970945613	0.0018718595390329067	2.7277267430506873	0.0003536221502211	0.555102	49.0	90.0	SkatO	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	2	META-GROUP1
RRS1	17.06780361476003	0.00187518538986031	2.726955789369216	0.0006439011318999	0.30546	36.0	70.0	SkatO	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	2	META-GROUP1
CXCL8	17.053627231254815	0.001887120216478186	2.724200432802683	0.0005398459669456	0.366929	10.0	21.0	SkatO	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	2	META-GROUP1
CNTN4	16.98023515779982	0.001950115696580749	2.7099396220241205	0.0192088970902854	0.0106976	105.0	214.0	SkatO	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	2	META-GROUP1
ZNF534	16.972296635413265	0.001957052713731161	2.7083974763480065	0.118264414744593	0.00174445	78.0	144.0	SkatO	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	2	META-GROUP1
USP6NL	16.916009162475582	0.0020069419112937986	2.6974651975023765	0.0032426540643891	0.0654387	70.0	179.0	SkatO	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	2	META-GROUP1
SLC38A5	16.86750615678936	0.0020509358712191336	2.688047918964192	0.515716790371586	0.000421557	2.0	41.0	SkatO	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	2	META-GROUP1
FBXW11	16.814680714689477	0.0020999324871939775	2.677794667604383	0.0034764160573103	0.0642106	25.0	56.0	SkatO	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	2	META-GROUP1
SMIM10L1	16.75174878204502	0.002159811012904625	2.6655842486840062	0.314081488102928	0.000733435	4.0	13.0	SkatO	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	2	META-GROUP1
PSIP1	16.7489656640605	0.0021624976058530346	2.665044364679514	0.349575813605548	0.000659883	40.0	97.0	SkatO	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	2	META-GROUP1
NPRL3	16.72552447645952	0.002185256905725941	2.6604974986567327	0.0005766405923961	0.404756	67.0	171.0	SkatO	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	2	META-GROUP1
CAPN3	16.66213076371584	0.002247995868788799	2.6482044912185803	0.0265275197488681	0.00908171	103.0	218.0	SkatO	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	2	META-GROUP1
SKP2	16.661574230568572	0.0022485544406225864	2.6480965930968132	0.0020900640019898	0.115299	26.0	91.0	SkatO	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	2	META-GROUP1
SYT17	16.611232972968864	0.0022996499912707616	2.6383382589506366	0.0027950378451433	0.0884156	54.0	96.0	SkatO	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	2	META-GROUP1
CNTROB	16.594321305660614	0.0023170705029759574	2.6350607514549194	0.0122616753109096	0.0203254	92.0	213.0	SkatO	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	2	META-GROUP1
CCNE1	16.555838597007465	0.0023571972058521544	2.6276040823756794	0.0120927611754912	0.0210097	23.0	64.0	SkatO	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	2	META-GROUP1
RUBCN	16.52698783440629	0.0023877288737892822	2.6220149888082167	0.56370479288381	0.000457255	124.0	233.0	SkatO	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	2	META-GROUP1
OR10S1	16.515312510264316	0.002400194885321339	2.619753494045283	0.001988418664951	0.130388	45.0	60.0	SkatO	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	2	META-GROUP1
ZNF736	16.51437246027162	0.0024012013833242573	2.619571415120462	0.725367589027378	0.000357595	36.0	78.0	SkatO	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	2	META-GROUP1
NOP53	11.956496536290732	0.002533259999999999	2.5963202343032044	NA	0.00253326	NA	146.0	SkatO	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	2	META-GROUP1
LCK	16.379622223078528	0.0025498627900620483	2.59348318863356	0.086981118719803	0.00318996	35.0	83.0	SkatO	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	2	META-GROUP1
ITFG1-AS1	11.933184876865749	0.0025629600000000013	2.591258171777065	NA	0.00256296	NA	25.0	SkatO	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	2	META-GROUP1
PBK	16.365613896387	0.0025658280587866227	2.5907724499182696	0.0010679467916352	0.261639	42.0	59.0	SkatO	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	2	META-GROUP1
LPAR4	16.341452122625814	0.002593596905060634	2.5860975207388863	0.605602218855632	0.000466994	6.0	32.0	SkatO	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	2	META-GROUP1
KIAA2012-AS1	11.881771015479655	0.0026297000000000017	2.5800937936304056	NA	0.0026297	NA	82.0	SkatO	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	2	META-GROUP1
SYCE2	16.295490072808008	0.0026472401576908963	2.5772066577055317	0.531808250182747	0.000544157	14.0	33.0	SkatO	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	2	META-GROUP1
GDF9	16.27702049121273	0.0026691028714147928	2.573634687498806	0.0003681980389701	0.793247	53.0	78.0	SkatO	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	2	META-GROUP1
SUCLA2	16.237827812879463	0.0027160865620222633	2.5660563931509057	0.0030781948261611	0.0967619	42.0	101.0	SkatO	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	2	META-GROUP1
SH3GLB2	16.217950547704746	0.0027402255277603066	2.562213692131757	0.0939376846107922	0.00320241	36.0	75.0	SkatO	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	2	META-GROUP1
KNOP1	16.19859137363016	0.0027639383627571386	2.558471646179507	1.0	0.000303753	46.0	112.0	SkatO	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	2	META-GROUP1
PHC2	16.198503287546515	0.0027640467188954983	2.5584546206368253	0.105184085077891	0.00288795	81.0	128.0	SkatO	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	2	META-GROUP1
PPIP5K2	16.154768982266795	0.002818364880939418	2.5500027814466146	0.0017467933820201	0.177744	69.0	162.0	SkatO	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	2	META-GROUP1
HOXA3	16.13495347873985	0.00284332052037378	2.5461741806248837	0.704776774932904	0.000444926	40.0	260.0	SkatO	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	2	META-GROUP1
WDFY4	16.134362339027586	0.0028440683341456334	2.546059973066798	0.0009680816768102	0.324008	319.0	693.0	SkatO	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	2	META-GROUP1
CDC42BPA	16.02281864587868	0.002988696780642448	2.524518144235967	0.0008928663129434	0.371452	124.0	275.0	SkatO	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	2	META-GROUP1
ANO10	15.964028765212767	0.0030678134369261268	2.513171054689516	0.0286677730813019	0.0119141	81.0	137.0	SkatO	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	2	META-GROUP1
