GENE	TEST_STAT_WEIGHTEDZ	META_PVAL	-log10	AMP_NIH_PVAL	UKB_ALL_PVAL	AMP_NIH_NUMVAR	UKB_ALL_NUMVAR	TEST	VARIANT_GROUP	MAF	MIN_NUMVAR	META_ANALYSIS_GROUP
MYO1F	2.9183112945830465	0.003519328173623716	2.4535402337761827	0.301931	0.00196936	35.0	235.0	CMCWald	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	4	INITIAL-DISCOVERY
NLRP2	2.9172594944225034	0.003531218576613469	2.4520753994918048	0.234222	0.00332392	49.0	300.0	CMCWald	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	4	INITIAL-DISCOVERY
NRN1L	-2.9172590512153946	0.0035312235946814226	2.4520747823344053	0.0522531	0.0289197	11.0	63.0	CMCWald	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	4	INITIAL-DISCOVERY
SEMA4G	-2.916836052449902	0.0035360158193993058	2.451485800711437	0.0095351	0.125332	27.0	233.0	CMCWald	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	4	INITIAL-DISCOVERY
CEP85L	2.9132630943783697	0.003576731152282766	2.446513702699255	0.0609427	0.0246994	17.0	162.0	CMCWald	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	4	INITIAL-DISCOVERY
FAM214B	-2.91093006361152	0.0036035466652134286	2.4432698495408607	0.0563723	0.027207	20.0	113.0	CMCWald	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	4	INITIAL-DISCOVERY
POU3F1	-2.9100744341128957	0.003613426884027343	2.442080728599144	NA	0.00361331	NA	71.0	CMCWald	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	4	INITIAL-DISCOVERY
MMS19	2.899837847012674	0.0037335574965478282	2.4278771561768457	0.0360075	0.0450544	22.0	197.0	CMCWald	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	4	INITIAL-DISCOVERY
KIF2C	2.8960678809583964	0.003778706531427241	2.4226568357174987	0.25628	0.00307217	13.0	137.0	CMCWald	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	4	INITIAL-DISCOVERY
INSM2	2.885043199079222	0.003913599559123762	2.4074236135681053	0.0921401	0.0165822	12.0	103.0	CMCWald	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	4	INITIAL-DISCOVERY
CPLANE2	-2.8759812741090016	0.004027736057779684	2.3949389970075994	0.018368	0.0874239	11.0	69.0	CMCWald	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	4	INITIAL-DISCOVERY
PRIM1	2.8746673234227123	0.004044534025792794	2.3931315066064833	0.029105	0.059656	7.0	68.0	CMCWald	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	4	INITIAL-DISCOVERY
GNG7	2.8740047205098613	0.004053029052360413	2.3922202831977115	NA	0.00405309	NA	21.0	CMCWald	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	4	INITIAL-DISCOVERY
MON1B	-2.867015907006054	0.0041436218514430845	2.3826198853393503	0.0152072	0.103701	19.0	134.0	CMCWald	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	4	INITIAL-DISCOVERY
C15orf40	2.864747509382515	0.004173418626846277	2.3795080499370678	0.126756	0.0115914	8.0	59.0	CMCWald	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	4	INITIAL-DISCOVERY
PLEKHA4	2.861794753757097	0.004212496038757108	2.375460494511522	0.251674	0.00372099	34.0	184.0	CMCWald	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	4	INITIAL-DISCOVERY
DYSF	2.8596255185106974	0.004241415326768521	2.3724891985866963	0.0908674	0.0186083	71.0	522.0	CMCWald	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	4	INITIAL-DISCOVERY
KIF21A	2.847722976764348	0.004403323558942366	2.3562194011404354	0.026823	0.0698002	21.0	258.0	CMCWald	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	4	INITIAL-DISCOVERY
PROSER1	-2.845997047905945	0.004427260531138039	2.3538649203282764	0.214851	0.00536076	15.0	171.0	CMCWald	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	4	INITIAL-DISCOVERY
SEPTIN5	2.842682667167828	0.004473558743907109	2.3493468554063632	0.87292	0.000113285	6.0	68.0	CMCWald	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	4	INITIAL-DISCOVERY
FGL1	2.826835861030306	0.004701041735868058	2.327805893126418	0.428576	0.00134536	21.0	101.0	CMCWald	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	4	INITIAL-DISCOVERY
MAPK8	-2.8263147414616894	0.00470869723532912	2.3270992333740317	0.0182449	0.101755	7.0	58.0	CMCWald	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	4	INITIAL-DISCOVERY
SCG3	2.8226343769139373	0.004763085663064747	2.322111607725912	0.137325	0.0122109	12.0	65.0	CMCWald	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	4	INITIAL-DISCOVERY
LGR6	2.8225806484039198	0.004763883856617502	2.3220388351500056	0.000505443	0.607338	20.0	202.0	CMCWald	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	4	INITIAL-DISCOVERY
FOXS1	-2.8193567463501203	0.004812000454484763	2.3176743403138604	0.130189	0.0133679	15.0	71.0	CMCWald	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	4	INITIAL-DISCOVERY
KRT1	-2.818866690953627	0.004819352890688059	2.3170112719002174	0.017459	0.107488	10.0	102.0	CMCWald	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	4	INITIAL-DISCOVERY
