GENE	TEST_STAT_WEIGHTEDZ	META_PVAL	-log10	AMP_NIH_PVAL	UKB_ALL_PVAL	AMP_NIH_NUMVAR	UKB_ALL_NUMVAR	TEST	VARIANT_GROUP	MAF	MIN_NUMVAR	META_ANALYSIS_GROUP
TMEM237	-1.5136508661045982	0.1301144127883371	0.8856745939245481	0.0570987	0.811826	7.0	61.0	CMCWald	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.001	4	INITIAL-DISCOVERY
RRP7A	1.513559943906994	0.13013748692017538	0.8855975841646228	0.310979	0.259602	6.0	57.0	CMCWald	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.001	4	INITIAL-DISCOVERY
IAPP	-1.5132327276460322	0.1302205537713421	0.8853204621197723	NA	0.130221	NA	12.0	CMCWald	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.001	4	INITIAL-DISCOVERY
RBKS	1.5131265898617166	0.13024750665818782	0.8852305816941191	0.477616	0.15279	7.0	54.0	CMCWald	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.001	4	INITIAL-DISCOVERY
IGFL4	-1.513123169360948	0.13024837534046513	0.8852276851882959	NA	0.130247	NA	8.0	CMCWald	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.001	4	INITIAL-DISCOVERY
F13B	1.5131182497107574	0.13024962475982962	0.8852235191990339	0.949038	0.0378975	6.0	70.0	CMCWald	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.001	4	INITIAL-DISCOVERY
KLHL9	-1.5130476661374441	0.1302675515468112	0.8851637495916167	0.141379	0.503428	5.0	83.0	CMCWald	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.001	4	INITIAL-DISCOVERY
OR14A2	1.5128976763461484	0.13030565224969487	0.8850367455490225	0.130306	NA	7.0	NA	CMCWald	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.001	4	INITIAL-DISCOVERY
KLHL10	1.5127768197711466	0.13033635876603036	0.884934416146232	0.898231	0.0233725	7.0	85.0	CMCWald	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.001	4	INITIAL-DISCOVERY
CD53	-1.5126952443433228	0.13035708813702823	0.8848653491898999	NA	0.130357	NA	25.0	CMCWald	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.001	4	INITIAL-DISCOVERY
PLIN4	1.5124947006291898	0.13040805976291298	0.884695566561235	0.367154	0.216022	9.0	115.0	CMCWald	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.001	4	INITIAL-DISCOVERY
PLXND1	-1.5117278813016986	0.13060310267902675	0.8840465056001898	0.19016	0.407785	27.0	241.0	CMCWald	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.001	4	INITIAL-DISCOVERY
TSPO2	1.511704584278358	0.13060903189067924	0.8840267896409186	NA	0.130608	NA	17.0	CMCWald	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.001	4	INITIAL-DISCOVERY
EVX1-AS	1.5116538283910228	0.13062195024678494	0.8839838363072012	0.843229	0.0523758	14.0	73.0	CMCWald	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.001	4	INITIAL-DISCOVERY
EVX1	1.5116538283910228	0.13062195024678494	0.8839838363072012	0.843229	0.0523758	14.0	73.0	CMCWald	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.001	4	INITIAL-DISCOVERY
SNX16	-1.5114482572814272	0.13067428221222468	0.8838098767831191	0.595146	0.108247	8.0	45.0	CMCWald	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.001	4	INITIAL-DISCOVERY
MRPS2	1.5113180281712315	0.13070744287879155	0.883699681668457	0.200888	0.390727	6.0	54.0	CMCWald	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.001	4	INITIAL-DISCOVERY
ANO5	-1.5106510911918527	0.13087736956035495	0.8831354422554453	0.0997842	0.623792	14.0	119.0	CMCWald	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.001	4	INITIAL-DISCOVERY
IRAK2	-1.5103928635958173	0.1309432085150664	0.8829170217207543	0.790905	0.0613603	10.0	85.0	CMCWald	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.001	4	INITIAL-DISCOVERY
SNX13	-1.5100232041702097	0.1310375033685598	0.8826043900310543	0.0601315	0.798207	15.0	133.0	CMCWald	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.001	4	INITIAL-DISCOVERY
SMPD4	1.5100178592933593	0.13103886715659546	0.8825998700843136	0.228308	0.351978	10.0	132.0	CMCWald	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.001	4	INITIAL-DISCOVERY
ZSWIM7	-1.5095116539693678	0.13116807938273745	0.8821718405291021	NA	0.131168	NA	16.0	CMCWald	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.001	4	INITIAL-DISCOVERY
KRTDAP	-1.5090692845151001	0.1312810779568116	0.8817978659222622	NA	0.131281	NA	11.0	CMCWald	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.001	4	INITIAL-DISCOVERY
ADORA3	1.5089917654783886	0.13130088713997223	0.8817323395716552	0.75594	0.0682698	6.0	46.0	CMCWald	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.001	4	INITIAL-DISCOVERY
TMEM174	-1.508970469418003	0.13130632953234253	0.8817143385356969	NA	0.131306	NA	29.0	CMCWald	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.001	4	INITIAL-DISCOVERY
RFPL4A	-1.5088528055906276	0.1313364026935939	0.881614883219106	NA	0.131336	NA	8.0	CMCWald	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.001	4	INITIAL-DISCOVERY
YIPF1	-1.508700077548787	0.13137544572115314	0.8814857975181531	0.287207	0.28491	9.0	45.0	CMCWald	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.001	4	INITIAL-DISCOVERY
KIF3A	1.5083753156779143	0.1314584969697872	0.8812113375315311	0.131826	0.531166	6.0	91.0	CMCWald	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.001	4	INITIAL-DISCOVERY
AMY2A	1.5070782126483588	0.1317906106620627	0.8801155296730359	NA	0.131789	NA	41.0	CMCWald	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.001	4	INITIAL-DISCOVERY
GPR21	1.5070030489623638	0.13180987568428387	0.880052049571195	0.124638	0.551421	10.0	71.0	CMCWald	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.001	4	INITIAL-DISCOVERY
C1orf52	1.506748886197167	0.13187503569378795	0.8798374098104556	0.970746	0.0301938	4.0	56.0	CMCWald	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.001	4	INITIAL-DISCOVERY
ZNF343	1.5064182144491483	0.13195984776158318	0.8795581941599045	0.142178	0.507541	4.0	45.0	CMCWald	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.001	4	INITIAL-DISCOVERY
DIO2	-1.5061244431970444	0.13203523088362287	0.8793101707877395	0.651115	0.0933924	4.0	40.0	CMCWald	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.001	4	INITIAL-DISCOVERY
BRPF3	1.5059824429618256	0.13207168078948475	0.8791902951435775	0.970347	0.0363835	11.0	148.0	CMCWald	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.001	4	INITIAL-DISCOVERY
GOLGA8M	1.5059823948646713	0.13207169313681835	0.8791902545415456	0.837427	0.0542801	5.0	36.0	CMCWald	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.001	4	INITIAL-DISCOVERY
DNAH3	1.5055236062636308	0.13218951244319144	0.8788029992280193	0.687826	0.0113758	83.0	659.0	CMCWald	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.001	4	INITIAL-DISCOVERY
GPLD1	-1.5052794598393764	0.13225224370440608	0.878596951276317	0.0558266	0.828677	12.0	115.0	CMCWald	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.001	4	INITIAL-DISCOVERY
CXADR	1.5052210514313946	0.13226725464537653	0.8785476606275799	NA	0.132267	NA	38.0	CMCWald	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.001	4	INITIAL-DISCOVERY
NUDT15	-1.5050005681050884	0.1323239306798778	0.8783616068904816	0.684128	0.0851495	6.0	35.0	CMCWald	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.001	4	INITIAL-DISCOVERY
GEM	-1.5043124738865934	0.13250092874893762	0.8777810775828332	0.293039	0.281953	7.0	53.0	CMCWald	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.001	4	INITIAL-DISCOVERY
ERICH6B	-1.504235895266147	0.13252063835566108	0.877716480776243	NA	0.13252	NA	35.0	CMCWald	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.001	4	INITIAL-DISCOVERY
NOTCH3	-1.5042116880503726	0.13252686921837706	0.8776960615742643	0.628444	0.100308	54.0	360.0	CMCWald	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.001	4	INITIAL-DISCOVERY
UHRF1BP1L	1.5039235689460186	0.1326010476098413	0.8774530447896468	0.0475667	0.884197	23.0	175.0	CMCWald	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.001	4	INITIAL-DISCOVERY
SHROOM4	-1.5038482210635382	0.13262045178150741	0.877389496964792	NA	0.132621	NA	79.0	CMCWald	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.001	4	INITIAL-DISCOVERY
NFYA	1.5022995237316015	0.1330197716079358	0.8760838021754387	NA	0.13302	NA	49.0	CMCWald	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.001	4	INITIAL-DISCOVERY
KIF11	1.5018648284143594	0.13313202161515716	0.8757174731642385	0.218838	0.371144	6.0	69.0	CMCWald	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.001	4	INITIAL-DISCOVERY
