GENE	TEST_STAT	META_PVAL	-log10	AMP_NIH_PVAL	GNE_PVAL	UKB_CASE_PVAL	UKB_SIBLING_PROXY_PVAL	UKB_PARENT_PROXY_PVAL	AMP_NIH_NUMVAR	GNE_NUMVAR	UKB_CASE_NUMVAR	UKB_SIBLING_PROXY_NUMVAR	UKB_PARENT_PROXY_NUMVAR	TEST	VARIANT_GROUP	MAF	MIN_NUMVAR	META_ANALYSIS_GROUP
HIST1H2AG	0.3001692074567874	0.860635160401491	0.06518091521787761	NA	0.860635160401491	NA	NA	NA	NA	3.0	NA	NA	NA	CMCWald	ALL_LOF_HC_LOFTEE	0.01	2	META-GROUP3
RPS6KA6	0.3001393701846765	0.860648	0.06517443613656121	NA	NA	NA	NA	0.860648	NA	NA	NA	NA	2.0	CMCWald	ALL_LOF_HC_LOFTEE	0.01	2	META-GROUP3
IL18BP	3.9604968473071374	0.8606698592753652	0.06516340579417686	NA	0.817599829942494	0.771966	0.280678	0.779187	NA	2.0	5.0	2.0	4.0	CMCWald	ALL_LOF_HC_LOFTEE	0.01	2	META-GROUP3
SLC34A1	0.29991005652064406	0.860746684830498	0.06512464130710405	NA	0.860746684830498	NA	NA	NA	NA	12.0	NA	NA	NA	CMCWald	ALL_LOF_HC_LOFTEE	0.01	2	META-GROUP3
COX11	0.29975138691623804	0.860814974707332	0.06509018664028439	NA	0.860814974707332	NA	NA	NA	NA	5.0	NA	NA	NA	CMCWald	ALL_LOF_HC_LOFTEE	0.01	2	META-GROUP3
RNF39	0.299614002038681	0.860874108218271	0.0650603538931744	NA	0.860874108218271	NA	NA	NA	NA	3.0	NA	NA	NA	CMCWald	ALL_LOF_HC_LOFTEE	0.01	2	META-GROUP3
ACSL4	0.2996003141800005	0.86088	0.0650573816124274	NA	NA	NA	NA	0.86088	NA	NA	NA	NA	3.0	CMCWald	ALL_LOF_HC_LOFTEE	0.01	2	META-GROUP3
CEP63	5.427085243668501	0.8608859571055079	0.06505437639788064	0.887884	0.808774284134081	0.604532	0.919681	0.166067	2.0	16.0	5.0	3.0	20.0	CMCWald	ALL_LOF_HC_LOFTEE	0.01	2	META-GROUP3
FAM57A	0.29951467372733553	0.860916863865699	0.06503878502441734	NA	0.860916863865699	NA	NA	NA	NA	2.0	NA	NA	NA	CMCWald	ALL_LOF_HC_LOFTEE	0.01	2	META-GROUP3
CCL28	0.29946992809697337	0.860936125215045	0.06502906863423956	NA	0.860936125215045	NA	NA	NA	NA	2.0	NA	NA	NA	CMCWald	ALL_LOF_HC_LOFTEE	0.01	2	META-GROUP3
FITM2	0.29921993230971333	0.861043747143364	0.06497478273878651	NA	0.861043747143364	NA	NA	NA	NA	3.0	NA	NA	NA	CMCWald	ALL_LOF_HC_LOFTEE	0.01	2	META-GROUP3
COLEC11	0.2986389533990278	0.861293907605227	0.06484862477128008	NA	0.861293907605227	NA	NA	NA	NA	4.0	NA	NA	NA	CMCWald	ALL_LOF_HC_LOFTEE	0.01	2	META-GROUP3
NHS	0.29859926375296164	0.861311	0.06484000627414246	NA	NA	NA	NA	0.861311	NA	NA	NA	NA	2.0	CMCWald	ALL_LOF_HC_LOFTEE	0.01	2	META-GROUP3
GNL3	1.2995139549246946	0.8614579910365261	0.06476589605212249	0.80882	0.64559810720272	NA	NA	NA	4.0	12.0	NA	NA	NA	CMCWald	ALL_LOF_HC_LOFTEE	0.01	2	META-GROUP3
ZFP36L1	1.2987263640529176	0.8615915858631421	0.06469855092531446	NA	0.579055726195949	NA	NA	0.902121	NA	3.0	NA	NA	2.0	CMCWald	ALL_LOF_HC_LOFTEE	0.01	2	META-GROUP3
DOP1B	2.5607164164816076	0.8616116049157414	0.06468846022431796	NA	NA	0.709344	0.808027	0.484914	NA	NA	7.0	4.0	24.0	CMCWald	ALL_LOF_HC_LOFTEE	0.01	2	META-GROUP3
OR9G4	2.5595331852341956	0.8617463608435132	0.06462054194254817	NA	0.805523845659481	0.901811	NA	0.382834	NA	2.0	2.0	NA	5.0	CMCWald	ALL_LOF_HC_LOFTEE	0.01	2	META-GROUP3
WFDC5	0.297582281611965	0.861749080322949	0.06461917140812795	NA	0.861749080322949	NA	NA	NA	NA	3.0	NA	NA	NA	CMCWald	ALL_LOF_HC_LOFTEE	0.01	2	META-GROUP3
HS3ST3A1	2.559431973882333	0.8617578855273123	0.0646147338842388	NA	0.569527308561088	NA	0.90261	0.541018	NA	3.0	NA	2.0	3.0	CMCWald	ALL_LOF_HC_LOFTEE	0.01	2	META-GROUP3
ANXA3	0.29746799641457505	0.861798324311773	0.06459435469283312	NA	0.861798324311773	NA	NA	NA	NA	4.0	NA	NA	NA	CMCWald	ALL_LOF_HC_LOFTEE	0.01	2	META-GROUP3
SEMA3B	1.297274777496856	0.8618377362750617	0.06457449388976497	0.560044	0.933422386587705	NA	NA	NA	3.0	11.0	NA	NA	NA	CMCWald	ALL_LOF_HC_LOFTEE	0.01	2	META-GROUP3
VASH2	2.5571149457860747	0.8620216299003636	0.06448183669440925	NA	0.343263120109891	0.906747	NA	0.894574	NA	3.0	2.0	NA	3.0	CMCWald	ALL_LOF_HC_LOFTEE	0.01	2	META-GROUP3
ESCO1	1.295852619643638	0.8620788025303034	0.06445303354902301	NA	0.590769629968642	NA	NA	0.885505	NA	3.0	NA	NA	6.0	CMCWald	ALL_LOF_HC_LOFTEE	0.01	2	META-GROUP3
SDCCAG3	0.2964845047413677	0.862222214264263	0.06438079218949726	NA	0.862222214264263	NA	NA	NA	NA	2.0	NA	NA	NA	CMCWald	ALL_LOF_HC_LOFTEE	0.01	2	META-GROUP3
C1orf145	0.29643933334726197	0.862241688373904	0.06437098334589725	NA	0.862241688373904	NA	NA	NA	NA	3.0	NA	NA	NA	CMCWald	ALL_LOF_HC_LOFTEE	0.01	2	META-GROUP3
C9orf152	1.29399159261994	0.8623941196405649	0.06429421344717998	NA	0.802792308959466	NA	NA	0.652244	NA	2.0	NA	NA	2.0	CMCWald	ALL_LOF_HC_LOFTEE	0.01	2	META-GROUP3
F3	0.296010348663981	0.862426652448683	0.06427783050551229	NA	0.862426652448683	NA	NA	NA	NA	2.0	NA	NA	NA	CMCWald	ALL_LOF_HC_LOFTEE	0.01	2	META-GROUP3
WDR97	1.2933264702445189	0.8625067737135276	0.06423748550123284	0.952122	0.55012974202618	NA	NA	NA	4.0	18.0	NA	NA	NA	CMCWald	ALL_LOF_HC_LOFTEE	0.01	2	META-GROUP3
CES5A	1.2931311040545757	0.8625398596716398	0.06422082618459722	0.954713	0.548690337542709	NA	NA	NA	5.0	5.0	NA	NA	NA	CMCWald	ALL_LOF_HC_LOFTEE	0.01	2	META-GROUP3
RP11-411B6.6	0.29568579078753576	0.862566617486519	0.06420735365811307	NA	0.862566617486519	NA	NA	NA	NA	4.0	NA	NA	NA	CMCWald	ALL_LOF_HC_LOFTEE	0.01	2	META-GROUP3
PRKCA	1.2927937656128934	0.8625969849755917	0.06419206417146257	NA	0.592158016126307	NA	NA	0.884781	NA	3.0	NA	NA	5.0	CMCWald	ALL_LOF_HC_LOFTEE	0.01	2	META-GROUP3
GRB10	0.2954648645865883	0.862661904532206	0.06415938014312342	NA	0.862661904532206	NA	NA	NA	NA	5.0	NA	NA	NA	CMCWald	ALL_LOF_HC_LOFTEE	0.01	2	META-GROUP3
TIGD2	0.29507015150858706	0.862832173301287	0.06407366928726792	NA	0.862832173301287	NA	NA	NA	NA	4.0	NA	NA	NA	CMCWald	ALL_LOF_HC_LOFTEE	0.01	2	META-GROUP3
ZC3HC1	2.5492310886192717	0.8629177465071342	0.06403059934914761	NA	0.751228138252607	0.526766	NA	0.706402	NA	7.0	4.0	NA	11.0	CMCWald	ALL_LOF_HC_LOFTEE	0.01	2	META-GROUP3
FGA	1.2900586896145894	0.8630599511869851	0.06395903561111979	0.840413	0.624273001739973	NA	NA	NA	2.0	8.0	NA	NA	NA	CMCWald	ALL_LOF_HC_LOFTEE	0.01	2	META-GROUP3
CFAP69	3.93332182841386	0.8630887036701137	0.06394456751217617	NA	0.382376101476108	0.668709	0.800026	0.684003	NA	9.0	9.0	5.0	16.0	CMCWald	ALL_LOF_HC_LOFTEE	0.01	2	META-GROUP3
TLE6	0.2942838204507042	0.863171475865756	0.06390291966757408	NA	0.863171475865756	NA	NA	NA	NA	11.0	NA	NA	NA	CMCWald	ALL_LOF_HC_LOFTEE	0.01	2	META-GROUP3
PRSS55	1.2893613342531205	0.8631779368531067	0.06389966891064923	0.898594	0.584056994435119	NA	NA	NA	2.0	6.0	NA	NA	NA	CMCWald	ALL_LOF_HC_LOFTEE	0.01	2	META-GROUP3
SAA2	0.29412129198278003	0.863241623684736	0.06386762705918825	NA	0.863241623684736	NA	NA	NA	NA	2.0	NA	NA	NA	CMCWald	ALL_LOF_HC_LOFTEE	0.01	2	META-GROUP3
