GENE,META_PVAL,AMP_NIH_PVAL,GNE_PVAL,UKB_CASE_PVAL,UKB_SIBLING_PROXY_PVAL,UKB_PARENT_PROXY_PVAL,MAF,AMP_NIH_SIG,GNE_SIG,UKB_CASE_SIG,UKB_SIBLING_PROXY_SIG,UKB_PARENT_PROXY_SIG,SIG_DATASET
LOC100288123,0.0220088815638876,0.0218237,,0.568901,0.788366,0.0132719,0.01,1,0,0,0,1,2
NT5C1B-RDH14,0.0220166430493891,0.208937,1.0,0.397867,0.0370467,0.00954065,0.01,0,0,0,1,1,2
ROR2,0.0222122183478036,0.909158,0.566286345213184,0.0486153,0.49304,0.00241311,0.01,0,0,1,0,1,2
EMP1,0.0224833416680302,0.7248,0.61571053190926,0.00336626,0.500182,0.0403679,0.01,0,0,1,0,1,2
HCFC1,0.0225556152722364,,0.0157583727202079,0.872212,0.866316,0.0112965,0.01,0,1,0,0,1,2
FKBP5,0.0229130676026737,0.159045,0.0287609262552051,0.0346515,0.252499,0.780005,0.01,0,1,1,0,0,2
C21orf58,0.0229559915596138,0.160736,0.709848648740699,0.010712,0.624294,0.0410298,0.01,0,0,1,0,1,2
INSL5,0.0230540177641295,,0.466639898420386,0.0114293,0.0307272,0.846684,0.01,0,0,1,1,0,2
SEMA5A,0.0230929093280796,0.799448,0.0114669499806392,0.843094,0.00838322,0.487575,0.01,0,1,0,1,0,2
NRG1,0.0231559801787706,0.0354213,0.0234689615022624,0.69634,0.52623,0.104139,0.01,1,1,0,0,0,2
OR2V1,0.0233379594075082,0.0288402,0.899168572184812,0.011017,0.159814,0.703114,0.01,1,0,1,0,0,2
ZNF782,0.023641244906936,0.897027,0.917320768090194,0.027667,0.375878,0.00382603,0.01,0,0,1,0,1,2
ZNF780A,0.0237435073825095,0.017861,0.873654294712385,0.834474,0.0418367,0.0604958,0.01,1,0,0,1,0,2
DNAH6,0.0242515382812315,0.867447,0.0152506213246457,0.0384682,0.663304,0.100837,0.01,0,1,1,0,0,2
EFCAB7,0.0245920614427534,0.521534,0.0441381035874204,0.14661,0.0255092,0.403883,0.01,0,1,0,1,0,2
CCDC15,0.0246373404523759,0.622251,0.810629539672168,0.0302553,0.20714,0.0110301,0.01,0,0,1,0,1,2
C1QL3,0.0249330596205907,0.00297356,0.0491313293828333,0.859967,0.416226,0.679059,0.01,1,1,0,0,0,2
PSAP,0.0252256039188813,0.0387924,0.771520960879428,0.00120784,1.0,1.0,0.01,1,0,1,0,0,2
OR1L4,0.0254950680659834,0.609675,0.0050389592247582,0.566149,0.0364244,0.579971,0.01,0,1,0,1,0,2
AP1B1,0.0255066651050205,0.113203,0.617123277741441,0.0484065,0.891483,0.0121962,0.01,0,0,1,0,1,2
SEZ6L2,0.025719991336298,0.0441701,0.0049681990879121,0.28671,1.0,0.591892,0.01,1,1,0,0,0,2
PHEX,0.0257327770615319,,,0.035832,0.0484852,0.435502,0.01,0,0,1,1,0,2
GNG4,0.0258257642261681,0.0162669,0.655640048614109,0.0144053,0.517423,0.471418,0.01,1,0,1,0,0,2
DNASE1L2,0.025870478260145,0.596533,0.140419118322964,0.0348946,0.598312,0.0214857,0.01,0,0,1,0,1,2
CLCN2,0.0258974516452117,0.0247215,0.0585824820790818,0.909843,0.0359284,0.794956,0.01,1,0,0,1,0,2
DGCR6L,0.0259414774437067,0.0314836,0.331932135088419,0.0237777,0.295086,0.514599,0.01,1,0,1,0,0,2
IL6R,0.0260953236383912,,0.0087688238025124,0.032201,0.646695,0.906902,0.01,0,1,1,0,0,2
PDE2A,0.0261946404401331,0.551715,0.906999396076118,0.0104855,0.0441273,0.165414,0.01,0,0,1,1,0,2
TSEN54,0.0264456299204142,0.719865,0.0644265925130398,0.0272584,1.0,0.0307419,0.01,0,0,1,0,1,2
XRCC1,0.0266579175089681,0.0168045,0.044092325375036,0.534342,0.654913,0.151736,0.01,1,1,0,0,0,2
TFG,0.0268931947779273,0.0223911,0.0457049727903067,0.148237,0.468293,0.561347,0.01,1,1,0,0,0,2
HVCN1,0.0269837425041884,1.0,0.0347927850578228,0.0201523,0.20987,0.272411,0.01,0,1,1,0,0,2
SPINK4,0.0273166998617027,0.846575,0.0051976703333639,0.479094,0.019377,1.0,0.01,0,1,0,1,0,2
NAPB,0.0279632275820786,1.0,0.0314694139821582,0.434851,0.0695738,0.0444788,0.01,0,1,0,0,1,2
GBP4,0.0279742020719398,0.598931,0.473065966417542,0.00947942,0.852903,0.0184974,0.01,0,0,1,0,1,2
SURF4,0.0283951788164311,0.483115,0.704886278676334,0.0233749,0.0276114,0.197282,0.01,0,0,1,1,0,2
ZNF705A,0.0286218895562235,1.0,0.0460170563535716,0.0101128,0.65375,0.144286,0.01,0,1,1,0,0,2
NME3,0.0287449558069513,0.0448643,0.037476967401693,0.583769,0.885038,0.0508669,0.01,1,1,0,0,0,2
NEK8,0.0288059328749852,0.0347547,0.725269162999531,0.230782,0.429116,0.0177597,0.01,1,0,0,0,1,2
DENND11,0.0292327315605833,0.570699,,0.0233155,0.699932,0.0209344,0.01,0,0,1,0,1,2
HTR5A,0.0304022170584878,0.511209,0.665092050142588,0.669248,0.00573352,0.0369393,0.01,0,0,0,1,1,2
SLC12A5,0.0311725922362642,0.0268372,0.220635190242994,0.848846,0.294821,0.0338101,0.01,1,0,0,0,1,2
MYO7B,0.031297136207854,0.144083,0.0436667301284208,0.0467148,0.262366,0.653749,0.01,0,1,1,0,0,2
CRTAC1,0.0319959489232414,0.0125856,0.803617666364973,0.627355,1.0,0.00822273,0.01,1,0,0,0,1,2
HDHD2,0.0320767592572393,0.032297,0.915054339482754,0.0403604,0.227831,0.192744,0.01,1,0,1,0,0,2
CHMP2A,0.032186661601231,0.228171,0.0342797539922138,0.706197,0.437735,0.0217789,0.01,0,1,0,0,1,2
LTBP2,0.0322379745470287,0.920267,1.0,0.139034,0.0164338,0.0251059,0.01,0,0,0,1,1,2
KHDC3L,0.0333947163263969,0.254041,0.272633041218602,0.586952,0.0323866,0.0423619,0.01,0,0,0,1,1,2
ANGEL2,0.0334147967699029,0.777625,0.0256583608096272,0.0153223,0.305089,0.598527,0.01,0,1,1,0,0,2
IPP,0.0334587405675833,0.845517,0.0370081310650409,0.218129,0.508261,0.0161252,0.01,0,1,0,0,1,2
FANCC,0.0337069276690836,0.0124196,0.0132855139597851,1.0,0.672429,0.510043,0.01,1,1,0,0,0,2
AGPAT1,0.0337755124986933,0.0236361,0.0064718683844616,0.878216,0.526788,0.802188,0.01,1,1,0,0,0,2
TCP11L1,0.0338321222912356,0.0123005,0.361588912394128,0.767548,0.607794,0.0274319,0.01,1,0,0,0,1,2
DPP7,0.0341314990533214,0.315922,0.0279836872885629,0.79391,0.609767,0.013484,0.01,0,1,0,0,1,2
PDCD4,0.0343515349307178,0.741736,0.434666869156903,0.0301593,0.0104276,0.574902,0.01,0,0,1,1,0,2
KRT80,0.0349124180866104,0.00445728,0.856929091266106,0.0265042,0.672439,0.87829,0.01,1,0,1,0,0,2
XPO7,0.0352762621884079,0.750975,0.588225903630038,0.00567966,0.0267273,0.906216,0.01,0,0,1,1,0,2
ASRGL1,0.0356249587453175,0.198829,0.034195293168475,0.0397878,0.445587,0.511979,0.01,0,1,1,0,0,2
DMXL2,0.0364769060307012,0.0371759,0.395001272469946,0.403778,0.0182975,0.59035,0.01,1,0,0,1,0,2
HHEX,0.0366407132166,0.0317329,0.712949323009122,0.336203,0.72359,0.0117193,0.01,1,0,0,0,1,2
OR6C74,0.0369647090101367,1.0,0.0335431156164006,0.0602623,0.671764,0.0481631,0.01,0,1,0,0,1,2
STRIP2,0.0374779466320484,0.0106764,0.744466793285019,1.0,0.0238559,0.352489,0.01,1,0,0,1,0,2
SH3TC2,0.0378319169744057,0.80614,0.0059907788687049,0.0257522,0.54543,1.0,0.01,0,1,1,0,0,2
FETUB,0.0385136797193209,0.368088,0.045472526364272,0.0433785,0.546276,0.175914,0.01,0,1,1,0,0,2
TIMM44,0.0394586164643313,0.814949,0.280979078619714,0.0486854,0.136518,0.047636,0.01,0,0,1,0,1,2
ESYT2,0.0395948016232418,0.466824,0.587689822291761,0.00859306,0.759064,0.0407351,0.01,0,0,1,0,1,2
VTA1,0.0401327189769391,1.0,0.0197710000496305,0.0126884,0.82607,0.359356,0.01,0,1,1,0,0,2
ANAPC5,0.0405589657329971,1.0,0.0382498962183518,0.227697,0.0166022,0.523718,0.01,0,1,0,1,0,2
CAVIN1,0.0413458660105396,0.0184061,,0.775538,0.907996,0.0249531,0.01,1,0,0,0,1,2
NMRK2,0.0415532503049591,1.0,0.766720802268275,0.0350439,0.545688,0.00536728,0.01,0,0,1,0,1,2
MRPS16,0.041859122577788,0.0158453,0.533011788685902,0.722678,0.79523,0.0164035,0.01,1,0,0,0,1,2
SALL4,0.0420539350766912,0.671419,0.0232430710873596,0.0137438,0.548775,0.681444,0.01,0,1,1,0,0,2
GPR108,0.0421224987236021,0.0264131,0.011418657368037,0.524075,0.787204,0.646292,0.01,1,1,0,0,0,2
KIF4B,0.0439143110601367,0.445088,0.0159692695049983,0.410002,0.0487739,0.604607,0.01,0,1,0,1,0,2
ARPC5,0.0441260548676164,0.0478603,0.336585252075374,0.0216259,0.471877,0.526793,0.01,1,0,1,0,0,2
SETD1A,0.0442443437641678,0.0286156,0.596663694047296,1.0,0.249064,0.0204516,0.01,1,0,0,0,1,2
MAK16,0.0453273474574996,0.573673,0.559302045369163,0.824012,0.0238274,0.0143498,0.01,0,0,0,1,1,2
SFTPC,0.0457222792797937,0.017798,0.523996892437794,0.923516,0.0159571,0.666964,0.01,1,0,0,1,0,2
PPP1R16A,0.0457899513519577,0.516228,0.692190494963907,0.0217464,0.0187331,0.631198,0.01,0,0,1,1,0,2
SLC15A5,0.0471435225490324,0.782539,0.0370233362301515,0.035795,0.133619,0.694794,0.01,0,1,1,0,0,2
GCGR,0.0473881777444806,1.0,0.771299110931035,0.0407427,0.028229,0.109439,0.01,0,0,1,1,0,2
