GENE	TEST_STAT_WEIGHTEDZ	META_PVAL	-log10	AMP_NIH_PVAL	GNE_PVAL	UKB_ALL_PVAL	AMP_NIH_NUMVAR	GNE_NUMVAR	UKB_ALL_NUMVAR	TEST	VARIANT_GROUP	MAF	MIN_NUMVAR	META_ANALYSIS_GROUP
IGFLR1	2.4238222377298104	0.015358121104112131	1.8136619121709165	NA	0.361263817901722	0.0119088	NA	6.0	8.0	CMCWald	ALL_LOF_HC_LOFTEE	0.001	3	META-GROUP1
C2CD2	2.415112342975578	0.015730357078057818	1.803261418809009	NA	0.0157303570780576	NA	NA	7.0	NA	CMCWald	ALL_LOF_HC_LOFTEE	0.001	3	META-GROUP1
DARS2	-2.4137872976076973	0.015787675783104627	1.8016818008890374	NA	0.157928527237509	0.0453341	NA	8.0	21.0	CMCWald	ALL_LOF_HC_LOFTEE	0.001	3	META-GROUP1
NECAB3	2.4096119246364953	0.015969496950358528	1.7967087642074393	NA	NA	0.0159691	NA	NA	10.0	CMCWald	ALL_LOF_HC_LOFTEE	0.001	3	META-GROUP1
THADA	2.408630024547077	0.016012521310339367	1.795540279264017	NA	0.0160125213103393	NA	NA	17.0	NA	CMCWald	ALL_LOF_HC_LOFTEE	0.001	3	META-GROUP1
FAAH	2.401585765943928	0.01632418189540339	1.7871685746602308	NA	0.0251894871289806	0.246917	NA	3.0	13.0	CMCWald	ALL_LOF_HC_LOFTEE	0.001	3	META-GROUP1
SPNS1	2.392360737415553	0.01674037970492698	1.776234695573084	NA	0.0167403797049271	NA	NA	3.0	NA	CMCWald	ALL_LOF_HC_LOFTEE	0.001	3	META-GROUP1
HMSD	2.390919475706889	0.016806238438766427	1.774529479189435	NA	NA	0.0168063	NA	NA	3.0	CMCWald	ALL_LOF_HC_LOFTEE	0.001	3	META-GROUP1
ATF6	2.3906528484240797	0.016818446923299927	1.7742141110221976	NA	0.0168184469233001	NA	NA	4.0	NA	CMCWald	ALL_LOF_HC_LOFTEE	0.001	3	META-GROUP1
ARHGEF10	-2.390382687020867	0.016830825169990318	1.7738945912144075	NA	0.0863869478358105	0.0957651	NA	11.0	23.0	CMCWald	ALL_LOF_HC_LOFTEE	0.001	3	META-GROUP1
ZNF684	2.386181887823789	0.01702432875413442	1.7689300027116488	NA	0.0170243287541345	NA	NA	4.0	NA	CMCWald	ALL_LOF_HC_LOFTEE	0.001	3	META-GROUP1
AMER3	2.3708471798862623	0.017747367359005038	1.7508660609894098	NA	0.0177473673590053	NA	NA	5.0	NA	CMCWald	ALL_LOF_HC_LOFTEE	0.001	3	META-GROUP1
COL22A1	2.3674658919408604	0.01791037082491729	1.7468954222164	0.271443	0.0245533984262347	NA	3.0	29.0	NA	CMCWald	ALL_LOF_HC_LOFTEE	0.001	3	META-GROUP1
RHBDL3	2.3643236891656536	0.018063022823618116	1.7432095693179914	NA	NA	0.0180627	NA	NA	5.0	CMCWald	ALL_LOF_HC_LOFTEE	0.001	3	META-GROUP1
INSM2	2.360411673348421	0.018254664835849612	1.7386261364900581	NA	0.436171330501913	0.0104838	NA	4.0	5.0	CMCWald	ALL_LOF_HC_LOFTEE	0.001	3	META-GROUP1
ZDHHC18	2.355967103552595	0.01847455368005114	1.7334260447670917	NA	0.0184745536800514	NA	NA	3.0	NA	CMCWald	ALL_LOF_HC_LOFTEE	0.001	3	META-GROUP1
IMP3	2.352489867733531	0.01864819781556974	1.7293631325722763	NA	0.0186481978155699	NA	NA	4.0	NA	CMCWald	ALL_LOF_HC_LOFTEE	0.001	3	META-GROUP1
POP1	2.3481729772629953	0.018865757644006245	1.7243257489573414	NA	0.018865757644006	NA	NA	8.0	NA	CMCWald	ALL_LOF_HC_LOFTEE	0.001	3	META-GROUP1
DBR1	2.347658669467346	0.018891824803125266	1.7237260905878609	NA	0.0188918248031253	NA	NA	8.0	NA	CMCWald	ALL_LOF_HC_LOFTEE	0.001	3	META-GROUP1
ARNTL2	2.341601474938998	0.019201205472220203	1.7166715049683725	NA	0.0192012054722204	NA	NA	5.0	NA	CMCWald	ALL_LOF_HC_LOFTEE	0.001	3	META-GROUP1
TADA1	2.3390666425684903	0.019331984734412593	1.7137235564755837	NA	0.210586026790801	0.0397844	NA	3.0	4.0	CMCWald	ALL_LOF_HC_LOFTEE	0.001	3	META-GROUP1
MPEG1	2.319761394881565	0.02035378854056662	1.6913547417642827	NA	0.0203537885405667	NA	NA	7.0	NA	CMCWald	ALL_LOF_HC_LOFTEE	0.001	3	META-GROUP1
ATP6V0E1	2.312473492422079	0.020751604448239733	1.682948319381815	NA	NA	0.0207515	NA	NA	3.0	CMCWald	ALL_LOF_HC_LOFTEE	0.001	3	META-GROUP1
VWA5B2	2.311023006951098	0.020831584130459616	1.681277703025946	NA	0.0208315841304595	NA	NA	5.0	NA	CMCWald	ALL_LOF_HC_LOFTEE	0.001	3	META-GROUP1
ARSK	2.3084880962229066	0.020972004161642813	1.678360064777772	NA	0.0209720041616429	NA	NA	5.0	NA	CMCWald	ALL_LOF_HC_LOFTEE	0.001	3	META-GROUP1
DQX1	-2.3054190800685377	0.021143113923527	1.6748310501310866	0.0754687	0.138140686477038	NA	3.0	13.0	NA	CMCWald	ALL_LOF_HC_LOFTEE	0.001	3	META-GROUP1
APLP2	2.3019243550984814	0.021339438463686983	1.670817012996403	NA	0.118831174187164	0.0899398	NA	3.0	8.0	CMCWald	ALL_LOF_HC_LOFTEE	0.001	3	META-GROUP1
CCDC105	2.300181545361544	0.02143793690582526	1.668817011587825	NA	0.021437936905825	NA	NA	3.0	NA	CMCWald	ALL_LOF_HC_LOFTEE	0.001	3	META-GROUP1
SLC49A3	-2.2985028859603394	0.0215331838200328	1.66689175219022	NA	NA	0.0215333	NA	NA	14.0	CMCWald	ALL_LOF_HC_LOFTEE	0.001	3	META-GROUP1
H2AC16	2.296482455533255	0.02164831117376966	1.6645759781337486	NA	NA	0.0216487	NA	NA	4.0	CMCWald	ALL_LOF_HC_LOFTEE	0.001	3	META-GROUP1
