GENE	TEST_STAT	META_PVAL	-log10	AMP_NIH_PVAL	GNE_PVAL	UKB_ALL_PVAL	AMP_NIH_NUMVAR	GNE_NUMVAR	UKB_ALL_NUMVAR	TEST	VARIANT_GROUP	MAF	MIN_NUMVAR	META_ANALYSIS_GROUP
C11orf74	0.427537111850825	0.8075352626475482	0.09283850424283327	NA	0.807535262647548	NA	NA	20.0	NA	SkatO	ALL_MISSENSE_SNPEFF	0.01	2	META-GROUP1
PHYHD1	3.009799288424119	0.8076159143078439	0.0927951317442689	0.375734	0.664206885461453	0.889706	11.0	36.0	76.0	SkatO	ALL_MISSENSE_SNPEFF	0.01	2	META-GROUP1
SLC36A4	3.008928342240498	0.8077253970521732	0.09273626152103587	0.561691	0.518624646847781	0.762551	14.0	50.0	79.0	SkatO	ALL_MISSENSE_SNPEFF	0.01	2	META-GROUP1
ASPHD1	3.008633060363431	0.8077625120510442	0.09271630613898993	0.759246	0.600959617517783	0.486918	5.0	28.0	60.0	SkatO	ALL_MISSENSE_SNPEFF	0.01	2	META-GROUP1
MFSD14A	3.0084840136585305	0.8077812455604488	0.09270623416201852	0.403841	1.0	0.550181	4.0	25.0	52.0	SkatO	ALL_MISSENSE_SNPEFF	0.01	2	META-GROUP1
CYP4F2	3.0083956146386237	0.8077923561145176	0.09270026073893459	1.0	0.439377633075946	0.505705	20.0	63.0	126.0	SkatO	ALL_MISSENSE_SNPEFF	0.01	2	META-GROUP1
SEPT2	0.4268990457301116	0.807792934194422	0.09269994994517572	NA	0.807792934194422	NA	NA	28.0	NA	SkatO	ALL_MISSENSE_SNPEFF	0.01	2	META-GROUP1
KCNJ10	3.008320492101526	0.8078017978681089	0.09269518458602312	0.539706	0.501459993441504	0.821028	10.0	34.0	53.0	SkatO	ALL_MISSENSE_SNPEFF	0.01	2	META-GROUP1
TAS2R38	3.0082665092227407	0.8078085826178845	0.09269153694990463	0.592143	0.729089379528628	0.514702	9.0	24.0	57.0	SkatO	ALL_MISSENSE_SNPEFF	0.01	2	META-GROUP1
TRIO	3.0079959018299784	0.8078425925552596	0.09267325289408733	0.920181	0.394500537146977	0.612211	51.0	195.0	476.0	SkatO	ALL_MISSENSE_SNPEFF	0.01	2	META-GROUP1
DPM2	3.0078212464423366	0.8078645424387647	0.09266145284310183	0.546926	0.791285832742894	0.513568	2.0	16.0	27.0	SkatO	ALL_MISSENSE_SNPEFF	0.01	2	META-GROUP1
HSD17B10	0.4266587366852106	0.80789	0.09264776749909974	NA	NA	0.80789	NA	NA	12.0	SkatO	ALL_MISSENSE_SNPEFF	0.01	2	META-GROUP1
SMCO1	3.0069816526782738	0.8079700498826033	0.09260473750733454	0.676081	0.729164560147398	0.451043	10.0	16.0	36.0	SkatO	ALL_MISSENSE_SNPEFF	0.01	2	META-GROUP1
CRISP1	3.0068531415811153	0.807986197923018	0.09259605781089428	0.84979	0.461342887364626	0.567198	9.0	18.0	51.0	SkatO	ALL_MISSENSE_SNPEFF	0.01	2	META-GROUP1
CALCOCO2	3.006843759747179	0.8079873767823695	0.09259542417168218	0.450192	0.802802397053749	0.61527	9.0	31.0	68.0	SkatO	ALL_MISSENSE_SNPEFF	0.01	2	META-GROUP1
PDZRN3-AS1	1.6034400729247398	0.8081737131713239	0.09249527961757517	0.837774	NA	0.535415	5.0	NA	46.0	SkatO	ALL_MISSENSE_SNPEFF	0.01	2	META-GROUP1
HINT3	3.005230540180418	0.808190056132363	0.09248649736455479	0.437584	0.56644688610707	0.897846	2.0	5.0	25.0	SkatO	ALL_MISSENSE_SNPEFF	0.01	2	META-GROUP1
KMT2A	3.0044770689557856	0.8082847011306005	0.09243564126508706	0.515811	0.84905383814181	0.508347	39.0	198.0	409.0	SkatO	ALL_MISSENSE_SNPEFF	0.01	2	META-GROUP1
HSF1	3.0042536788731673	0.8083127593269537	0.09242056574981793	0.601901	0.369921469519677	1.0	14.0	52.0	122.0	SkatO	ALL_MISSENSE_SNPEFF	0.01	2	META-GROUP1
MYB	3.0040666470691715	0.8083362500592107	0.09240794471044997	0.872975	0.759735748259593	0.335746	17.0	51.0	111.0	SkatO	ALL_MISSENSE_SNPEFF	0.01	2	META-GROUP1
TREX1	3.0039861172576234	0.8083463641801956	0.09240251073485774	0.609216	0.688525658527165	0.530886	14.0	38.0	65.0	SkatO	ALL_MISSENSE_SNPEFF	0.01	2	META-GROUP1
PNLIPRP3	3.0032554839346592	0.8084381217130715	0.09235321561780095	0.878472	0.340690673395705	0.744326	14.0	38.0	79.0	SkatO	ALL_MISSENSE_SNPEFF	0.01	2	META-GROUP1
SERPINB3	3.002662443320797	0.8085125913084326	0.09231321225332324	0.703349	0.663720254620917	0.477336	17.0	48.0	85.0	SkatO	ALL_MISSENSE_SNPEFF	0.01	2	META-GROUP1
LSM2	1.6013192460657528	0.8085550056991091	0.09229042985899115	NA	0.590043670716187	0.761016	NA	3.0	8.0	SkatO	ALL_MISSENSE_SNPEFF	0.01	2	META-GROUP1
TCERG1	3.0023016542837	0.8085578929036985	0.09228887907422853	0.257932	0.864078608332584	1.0	11.0	47.0	119.0	SkatO	ALL_MISSENSE_SNPEFF	0.01	2	META-GROUP1
SPEGNB	1.6012207744210332	0.8085727069682568	0.09228092218256757	0.607191	NA	0.739561	8.0	NA	42.0	SkatO	ALL_MISSENSE_SNPEFF	0.01	2	META-GROUP1
LOC100128882	1.6007570379561957	0.8086560653457764	0.0922361516664489	0.859631	NA	0.522502	6.0	NA	23.0	SkatO	ALL_MISSENSE_SNPEFF	0.01	2	META-GROUP1
H3-3B	1.6004895191894564	0.8087041506603841	0.09221032787457592	0.449219	NA	1.0	4.0	NA	19.0	SkatO	ALL_MISSENSE_SNPEFF	0.01	2	META-GROUP1
ZCCHC9	3.0004331754802935	0.8087924604115208	0.09216290590485747	0.405115	0.872088738731343	0.63143	4.0	17.0	32.0	SkatO	ALL_MISSENSE_SNPEFF	0.01	2	META-GROUP1
C14orf80	0.4243309530120167	0.808830843989979	0.09214229569693345	NA	0.808830843989979	NA	NA	72.0	NA	SkatO	ALL_MISSENSE_SNPEFF	0.01	2	META-GROUP1
MICAL1	2.9994653088911254	0.8089139370106239	0.0920976819348539	0.727122	0.306949619155355	1.0	55.0	151.0	247.0	SkatO	ALL_MISSENSE_SNPEFF	0.01	2	META-GROUP1
