GENE	TEST_STAT	META_PVAL	-log10	AMP_NIH_PVAL	GNE_PVAL	UKB_CASE_PVAL	UKB_SIBLING_PROXY_PVAL	UKB_PARENT_PROXY_PVAL	AMP_NIH_NUMVAR	GNE_NUMVAR	UKB_CASE_NUMVAR	UKB_SIBLING_PROXY_NUMVAR	UKB_PARENT_PROXY_NUMVAR	TEST	VARIANT_GROUP	MAF	MIN_NUMVAR	META_ANALYSIS_GROUP
SYTL5	9.64681906519402	0.008039330000000003	2.0947801439664246	NA	NA	NA	NA	0.00803933	NA	NA	NA	NA	6.0	SkatO	ALL_LOF_HC_LOFTEE	0.01	4	META-GROUP3
RABGGTB	9.633123624945604	0.008094570000000002	2.0918062169028633	NA	NA	NA	NA	0.00809457	NA	NA	NA	NA	6.0	SkatO	ALL_LOF_HC_LOFTEE	0.01	4	META-GROUP3
LANCL1-AS1	9.536569173722814	0.008494940000000001	2.070839684218236	NA	NA	NA	NA	0.00849494	NA	NA	NA	NA	5.0	SkatO	ALL_LOF_HC_LOFTEE	0.01	4	META-GROUP3
ATP8B2	9.535168117302023	0.008500893030004899	2.0705354486820435	NA	0.0085008930300049	NA	NA	NA	NA	5.0	NA	NA	NA	SkatO	ALL_LOF_HC_LOFTEE	0.01	4	META-GROUP3
MINK1	9.52690678591075	0.008536079999999993	2.0687415233638418	NA	NA	NA	NA	0.00853608	NA	NA	NA	NA	9.0	SkatO	ALL_LOF_HC_LOFTEE	0.01	4	META-GROUP3
PARP12	13.638906513229932	0.00854132935997015	2.0684745310944277	NA	0.194582140114465	NA	NA	0.00561366	NA	4.0	NA	NA	15.0	SkatO	ALL_LOF_HC_LOFTEE	0.01	4	META-GROUP3
ARSK	9.525285284076883	0.0085430034409008	2.0683894187144194	NA	0.0085430034409008	NA	NA	NA	NA	5.0	NA	NA	NA	SkatO	ALL_LOF_HC_LOFTEE	0.01	4	META-GROUP3
PLEKHG1	13.584288051125016	0.008747144492228165	2.058133699396763	NA	0.0016655134497716	NA	NA	0.674002	NA	6.0	NA	NA	6.0	SkatO	ALL_LOF_HC_LOFTEE	0.01	4	META-GROUP3
CFAP410	17.137875878767098	0.008789665440563341	2.056027655083496	NA	NA	0.0849222	0.0155715	0.143617	NA	NA	7.0	4.0	16.0	SkatO	ALL_LOF_HC_LOFTEE	0.01	4	META-GROUP3
IMP3	9.467178989563067	0.008794845262228701	2.0557717971788216	NA	0.0087948452622287	NA	NA	NA	NA	4.0	NA	NA	NA	SkatO	ALL_LOF_HC_LOFTEE	0.01	4	META-GROUP3
ERV3-1	9.460653084327586	0.008823589295305892	2.0543547148622254	NA	0.0088235892953059	NA	NA	NA	NA	9.0	NA	NA	NA	SkatO	ALL_LOF_HC_LOFTEE	0.01	4	META-GROUP3
C2CD2	9.43668823603501	0.008929953261182996	2.0491508141756682	NA	0.008929953261183	NA	NA	NA	NA	7.0	NA	NA	NA	SkatO	ALL_LOF_HC_LOFTEE	0.01	4	META-GROUP3
MPEG1	9.424599134593638	0.008984094280829299	2.04652569915209	NA	0.0089840942808293	NA	NA	NA	NA	7.0	NA	NA	NA	SkatO	ALL_LOF_HC_LOFTEE	0.01	4	META-GROUP3
MGAT5B	9.414113943027768	0.009031317934722793	2.044248868732712	NA	0.0090313179347228	NA	NA	NA	NA	4.0	NA	NA	NA	SkatO	ALL_LOF_HC_LOFTEE	0.01	4	META-GROUP3
ARNTL2	9.333468015843948	0.009402929325109994	2.0267368281507596	NA	0.00940292932511	NA	NA	NA	NA	5.0	NA	NA	NA	SkatO	ALL_LOF_HC_LOFTEE	0.01	4	META-GROUP3
DRC7	9.33327878609264	0.009403819024187595	2.026695737432357	NA	0.0094038190241876	NA	NA	NA	NA	8.0	NA	NA	NA	SkatO	ALL_LOF_HC_LOFTEE	0.01	4	META-GROUP3
LRBA	16.906995706627463	0.009631195358829104	2.0163198078364095	NA	0.234707255972286	0.0153028	NA	0.0593465	NA	10.0	13.0	NA	24.0	SkatO	ALL_LOF_HC_LOFTEE	0.01	4	META-GROUP3
