GENE	TEST_STAT	META_PVAL	-log10	AMP_NIH_PVAL	GNE_PVAL	UKB_CASE_PVAL	AMP_NIH_NUMVAR	GNE_NUMVAR	UKB_CASE_NUMVAR	TEST	VARIANT_GROUP	MAF	MIN_NUMVAR	META_ANALYSIS_GROUP
ANKMY2	4.4066933368270265	0.11043295674867601	0.9569012998119026	NA	0.110432956748676	NA	NA	8.0	NA	CMCWald	ALL_LOF_HC_LOFTEE	0.01	3	META-GROUP2
CYB5R3	4.4065272983842485	0.11044212518733398	0.9568652450221616	NA	0.110442125187334	NA	NA	5.0	NA	CMCWald	ALL_LOF_HC_LOFTEE	0.01	3	META-GROUP2
ZSCAN31	4.404924733079765	0.11053065601069295	0.9565172523878483	NA	0.110530656010693	NA	NA	5.0	NA	CMCWald	ALL_LOF_HC_LOFTEE	0.01	3	META-GROUP2
MITF	4.403985945092964	0.110582550615266	0.956313397166676	NA	0.110582550615266	NA	NA	4.0	NA	CMCWald	ALL_LOF_HC_LOFTEE	0.01	3	META-GROUP2
METTL23	7.5231297270416215	0.11069368394850357	0.9558771587470022	NA	0.605545952344656	0.0383907	NA	3.0	5.0	CMCWald	ALL_LOF_HC_LOFTEE	0.01	3	META-GROUP2
C1orf204	4.400989468217107	0.11074835381851296	0.9556627204805083	NA	0.110748353818513	NA	NA	3.0	NA	CMCWald	ALL_LOF_HC_LOFTEE	0.01	3	META-GROUP2
C2orf42	4.399090935864608	0.11085353339867898	0.9552504594183056	NA	0.110853533398679	NA	NA	4.0	NA	CMCWald	ALL_LOF_HC_LOFTEE	0.01	3	META-GROUP2
FAM69B	4.398960772616219	0.11086074816145199	0.9552221948280445	NA	0.110860748161452	NA	NA	4.0	NA	CMCWald	ALL_LOF_HC_LOFTEE	0.01	3	META-GROUP2
NGDN	4.397693994480199	0.11093098838975693	0.9549471174509101	NA	0.110930988389757	NA	NA	4.0	NA	CMCWald	ALL_LOF_HC_LOFTEE	0.01	3	META-GROUP2
KIF20A	4.39655535386743	0.11099416163525395	0.9546998647834117	NA	0.110994161635254	NA	NA	3.0	NA	CMCWald	ALL_LOF_HC_LOFTEE	0.01	3	META-GROUP2
TRDN	4.394754353475412	0.11109415691569004	0.954308782517332	NA	0.11109415691569	NA	NA	5.0	NA	CMCWald	ALL_LOF_HC_LOFTEE	0.01	3	META-GROUP2
CPT2	4.390939585068656	0.11130625837085698	0.9534804160829359	NA	0.111306258370857	NA	NA	7.0	NA	CMCWald	ALL_LOF_HC_LOFTEE	0.01	3	META-GROUP2
ZNF510	4.389730738783705	0.11137355478502504	0.9532179184474239	NA	0.111373554785025	NA	NA	12.0	NA	CMCWald	ALL_LOF_HC_LOFTEE	0.01	3	META-GROUP2
KIF5C	4.389060664766683	0.11141087529917501	0.9530724137233944	NA	0.111410875299175	NA	NA	3.0	NA	CMCWald	ALL_LOF_HC_LOFTEE	0.01	3	META-GROUP2
DIAPH3	4.388956576274552	0.11141667374507004	0.9530498111945132	NA	0.11141667374507	NA	NA	10.0	NA	CMCWald	ALL_LOF_HC_LOFTEE	0.01	3	META-GROUP2
ZNF891	4.386687473875201	0.11154315340118702	0.9525570818690575	NA	0.111543153401187	NA	NA	4.0	NA	CMCWald	ALL_LOF_HC_LOFTEE	0.01	3	META-GROUP2
RP11-545J16.1	4.380125616309592	0.11190971955360103	0.951132192603168	NA	0.111909719553601	NA	NA	19.0	NA	CMCWald	ALL_LOF_HC_LOFTEE	0.01	3	META-GROUP2
ITGB3	4.37958362322233	0.111940050810446	0.9510145002996542	NA	0.111940050810446	NA	NA	4.0	NA	CMCWald	ALL_LOF_HC_LOFTEE	0.01	3	META-GROUP2
RP11-290H9.2	4.37958362322233	0.111940050810446	0.9510145002996542	NA	0.111940050810446	NA	NA	4.0	NA	CMCWald	ALL_LOF_HC_LOFTEE	0.01	3	META-GROUP2
CCDC88B	10.315188447391732	0.1119909981259104	0.9508168846634052	0.609291	0.0178644484286394	0.528775	3.0	17.0	10.0	CMCWald	ALL_LOF_HC_LOFTEE	0.01	3	META-GROUP2
RNF10	4.376649705429458	0.11210438276849403	0.9503774081457532	NA	0.112104382768494	NA	NA	3.0	NA	CMCWald	ALL_LOF_HC_LOFTEE	0.01	3	META-GROUP2
ENTPD1-AS1	4.371329302974538	0.11240300000000006	0.9492220974319149	NA	NA	0.112403	NA	NA	11.0	CMCWald	ALL_LOF_HC_LOFTEE	0.01	3	META-GROUP2
LMAN2L	4.3712231377341695	0.11240896680412203	0.9491990439428839	NA	0.112408966804122	NA	NA	4.0	NA	CMCWald	ALL_LOF_HC_LOFTEE	0.01	3	META-GROUP2
TRMT1	7.480040786916038	0.11259263709405948	0.948490008898287	NA	0.589718336526171	0.0402796	NA	3.0	4.0	CMCWald	ALL_LOF_HC_LOFTEE	0.01	3	META-GROUP2
ARHGEF37	4.3646997888846135	0.11277620683940395	0.9477825167384382	NA	0.112776206839404	NA	NA	6.0	NA	CMCWald	ALL_LOF_HC_LOFTEE	0.01	3	META-GROUP2
FCRL4	4.362204550795643	0.112916996390422	0.9472406826719006	NA	0.112916996390422	NA	NA	6.0	NA	CMCWald	ALL_LOF_HC_LOFTEE	0.01	3	META-GROUP2
NIF3L1	7.472547424761634	0.11292594574763679	0.9472062635625833	NA	0.280495408037971	0.0850024	NA	7.0	3.0	CMCWald	ALL_LOF_HC_LOFTEE	0.01	3	META-GROUP2
PPRC1	4.359349289750959	0.11307831526543596	0.9466206706138509	NA	0.113078315265436	NA	NA	3.0	NA	CMCWald	ALL_LOF_HC_LOFTEE	0.01	3	META-GROUP2
EXOSC1	4.359289282801678	0.11308170805869801	0.9466076402703765	NA	0.113081708058698	NA	NA	4.0	NA	CMCWald	ALL_LOF_HC_LOFTEE	0.01	3	META-GROUP2
FAM26F	4.358870009028118	0.11310541664093704	0.9465165961272446	NA	0.113105416640937	NA	NA	7.0	NA	CMCWald	ALL_LOF_HC_LOFTEE	0.01	3	META-GROUP2
PMPCA	4.356526916447351	0.11323800252230905	0.9460078000380366	NA	0.113238002522309	NA	NA	3.0	NA	CMCWald	ALL_LOF_HC_LOFTEE	0.01	3	META-GROUP2
PPM1D	4.3541652638301525	0.11337179591265198	0.9454949736881259	NA	0.113371795912652	NA	NA	7.0	NA	CMCWald	ALL_LOF_HC_LOFTEE	0.01	3	META-GROUP2
PCDHA8	7.45322090721942	0.11378983166151574	0.9438965450639596	0.991015	0.0242925673676083	NA	3.0	10.0	NA	CMCWald	ALL_LOF_HC_LOFTEE	0.01	3	META-GROUP2
SCNN1D	4.343175870225378	0.11399645413929099	0.9431086571871179	NA	0.113996454139291	NA	NA	10.0	NA	CMCWald	ALL_LOF_HC_LOFTEE	0.01	3	META-GROUP2
TMA16	4.334905171753635	0.11446884536695803	0.941312697833236	NA	0.114468845366958	NA	NA	3.0	NA	CMCWald	ALL_LOF_HC_LOFTEE	0.01	3	META-GROUP2
QSOX2	4.333524906428203	0.114547871322069	0.9410129770260373	NA	0.114547871322069	NA	NA	5.0	NA	CMCWald	ALL_LOF_HC_LOFTEE	0.01	3	META-GROUP2
MMP17	7.43418240863239	0.11464683624421844	0.940637925414078	NA	0.326513598541044	0.0744366	NA	5.0	4.0	CMCWald	ALL_LOF_HC_LOFTEE	0.01	3	META-GROUP2
MMP19	7.432999631008549	0.11470027520385091	0.9404355400815531	0.0678858	0.358233088897349	NA	3.0	10.0	NA	CMCWald	ALL_LOF_HC_LOFTEE	0.01	3	META-GROUP2
CST1	4.329150724665888	0.11479867208895604	0.9400631355249294	NA	0.114798672088956	NA	NA	4.0	NA	CMCWald	ALL_LOF_HC_LOFTEE	0.01	3	META-GROUP2
GTPBP8	4.325488887401167	0.11500905165181412	0.9392679776660812	NA	0.115009051651814	NA	NA	4.0	NA	CMCWald	ALL_LOF_HC_LOFTEE	0.01	3	META-GROUP2
SLC26A5	4.32416167929261	0.11508539745365907	0.9389797780871395	NA	0.115085397453659	NA	NA	5.0	NA	CMCWald	ALL_LOF_HC_LOFTEE	0.01	3	META-GROUP2
WFS1	10.231499196583709	0.11523554826735273	0.9384135275546547	0.339086	0.0497769283288772	0.355566	3.0	12.0	9.0	CMCWald	ALL_LOF_HC_LOFTEE	0.01	3	META-GROUP2
