GENE	TEST_STAT	META_PVAL	-log10	GNE_PVAL	UKB_CASE_PVAL	GNE_NUMVAR	UKB_CASE_NUMVAR	TEST	VARIANT_GROUP	MAF	MIN_NUMVAR	META_ANALYSIS_GROUP
SVIL-AS1	0.4104525572279401	0.8144629999999999	0.0891286403435866	NA	0.814463	NA	45.0	SkatO	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	3	META-GROUP2
RP11-766F14.2	0.41035490585752626	0.814502767684885	0.08910743561792601	0.814502767684885	NA	213.0	NA	SkatO	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	3	META-GROUP2
SRSF10	1.5675790329396386	0.8146070141056816	0.08905185477754567	0.49423180146045	0.924004	12.0	67.0	SkatO	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	3	META-GROUP2
DNAJC1	1.5674617323692095	0.8146280069170366	0.08904066294577923	0.762732325286197	0.598767	50.0	32.0	SkatO	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	3	META-GROUP2
PAXBP1-AS1	0.40982156610630005	0.8147200000000001	0.08899162236245738	NA	0.81472	NA	9.0	SkatO	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	3	META-GROUP2
CDIPT	1.566927532070494	0.8147236062976007	0.088989699994427	0.628545134521281	0.726791	30.0	15.0	SkatO	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	3	META-GROUP2
PHF11	1.5667359813018638	0.814757884108589	0.0889714283365361	0.65148095552342	0.701271	20.0	9.0	SkatO	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	3	META-GROUP2
PRKCD	1.5661509510579936	0.8148625690400659	0.08891563118689481	0.715821530394916	0.638425	38.0	24.0	SkatO	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	3	META-GROUP2
HGSNAT	1.5660724429926949	0.8148766165770078	0.08890814438430433	0.903378157852357	0.505897	61.0	46.0	SkatO	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	3	META-GROUP2
ABHD14B	1.565858830916921	0.8149148376538713	0.08888777465818488	0.624904451953587	0.731416	36.0	23.0	SkatO	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	3	META-GROUP2
NTAQ1	0.40919813618127937	0.814974	0.08885624627431252	NA	0.814974	NA	18.0	SkatO	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	3	META-GROUP2
AFM	1.5648422503034465	0.8150967163705783	0.08879085642079655	0.735372859158932	0.621858	67.0	41.0	SkatO	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	3	META-GROUP2
WHSC1L1	0.40889678001157026	0.815096807973529	0.08879080761351643	0.815096807973529	NA	80.0	NA	SkatO	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	3	META-GROUP2
SLC35E2	0.4087151132409149	0.81517084933863	0.08875135917549604	0.81517084933863	NA	19.0	NA	SkatO	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	3	META-GROUP2
AC069368.3	0.40845013362216726	0.8152788583239531	0.08869381958237649	0.815278858323953	NA	24.0	NA	SkatO	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	3	META-GROUP2
C16orf45	0.40829186332768475	0.815343378089306	0.08865945162460508	0.815343378089306	NA	29.0	NA	SkatO	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	3	META-GROUP2
C9orf129	1.5634147111275984	0.8153520771937521	0.08865481805179877	0.857738390423785	0.533524	19.0	8.0	SkatO	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	3	META-GROUP2
TRAPPC10	1.563247934162283	0.8153819072465206	0.08863892946734872	0.795643641758638	0.57521	69.0	56.0	SkatO	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	3	META-GROUP2
POLE3	1.5630257018629514	0.8154216550682511	0.08861775921723697	0.521572256451518	0.877564	16.0	12.0	SkatO	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	3	META-GROUP2
RP4-608O15.3	0.40809443954461877	0.815423866148905	0.08861658159481406	0.815423866148905	NA	31.0	NA	SkatO	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	3	META-GROUP2
BICDL1	1.5628569712251283	0.815451832914058	0.08860168676035088	0.886924813452488	0.516111	59.0	40.0	SkatO	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	3	META-GROUP2
NAA20	1.5628490343913057	0.8154532524167157	0.08860093076029073	0.768102016177054	0.595954	13.0	3.0	SkatO	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	3	META-GROUP2
PTPRC	1.5626326368103889	0.8154919545148532	0.08858031926753068	1.0	0.457803	73.0	58.0	SkatO	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	3	META-GROUP2
RTL5	0.4077556656673162	0.8155620000000001	0.08854301778205127	NA	0.815562	NA	17.0	SkatO	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	3	META-GROUP2
PCNX3	1.5618464269215373	0.8156325560704032	0.0885054476320702	1.0	0.457983	172.0	129.0	SkatO	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	3	META-GROUP2
TECR	1.5618449639293461	0.8156328176896301	0.0885053083294301	0.567646369487896	0.806811	21.0	10.0	SkatO	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	3	META-GROUP2
KLHL22	1.5617855243578196	0.8156434469113205	0.08849964869662935	0.737445148338179	0.621059	45.0	23.0	SkatO	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	3	META-GROUP2
PCNP	1.561697767604881	0.8156591397625029	0.0884912930197246	0.865451885093989	0.529223	12.0	11.0	SkatO	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	3	META-GROUP2
ZFP2	1.5616804595097524	0.8156622348104607	0.08848964507681126	0.498344014274532	0.919086	47.0	24.0	SkatO	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	3	META-GROUP2
