GENE	TEST_STAT	META_PVAL	-log10	AMP_NIH_PVAL	GNE_PVAL	UKB_ALL_PVAL	AMP_NIH_NUMVAR	GNE_NUMVAR	UKB_ALL_NUMVAR	TEST	VARIANT_GROUP	MAF	MIN_NUMVAR	META_ANALYSIS_GROUP
NDUFB9	3.361727634867074	0.4992118346847273	0.30171512749761076	NA	0.250604331926599	0.743056	NA	5.0	5.0	SkatO	ALL_LOF_HC_LOFTEE	0.01	3	META-GROUP1
PTPN21	1.3893220493034968	0.4992436505960821	0.301687449799513	NA	0.499243650596082	NA	NA	8.0	NA	SkatO	ALL_LOF_HC_LOFTEE	0.01	3	META-GROUP1
SNAP47	1.3888506256303037	0.499361342103969	0.30158508144956	NA	0.499361342103969	NA	NA	3.0	NA	SkatO	ALL_LOF_HC_LOFTEE	0.01	3	META-GROUP1
MAD1L1	3.3598064475006426	0.49951255782414106	0.3014535890692822	NA	0.310202011883764	0.600873	NA	11.0	22.0	SkatO	ALL_LOF_HC_LOFTEE	0.01	3	META-GROUP1
KIAA1841	3.3595065203388756	0.4995595159271884	0.30141276389643445	NA	0.518892649148735	0.359265	NA	3.0	6.0	SkatO	ALL_LOF_HC_LOFTEE	0.01	3	META-GROUP1
STARD4	1.3875028593045267	0.4996979667147001	0.3012924177104699	NA	0.4996979667147	NA	NA	4.0	NA	SkatO	ALL_LOF_HC_LOFTEE	0.01	3	META-GROUP1
ENKUR	3.3586022639693627	0.4997011080938324	0.30128968750257373	0.753661	0.247464406908171	NA	4.0	3.0	NA	SkatO	ALL_LOF_HC_LOFTEE	0.01	3	META-GROUP1
CHPF2	5.349908747922432	0.49977955482887093	0.3012215141291722	0.785583	0.0877182581751532	1.0	3.0	12.0	23.0	SkatO	ALL_LOF_HC_LOFTEE	0.01	3	META-GROUP1
PXMP2	1.3870736943687805	0.49980520464286693	0.30119922572875957	NA	0.499805204642867	NA	NA	6.0	NA	SkatO	ALL_LOF_HC_LOFTEE	0.01	3	META-GROUP1
KIF18A	1.3870344205514062	0.499815019368397	0.3011906975276751	NA	0.499815019368397	NA	NA	5.0	NA	SkatO	ALL_LOF_HC_LOFTEE	0.01	3	META-GROUP1
EXTL1	5.34897364120809	0.49989483155430336	0.3011213534235444	0.24489	0.442710468953594	0.635908	3.0	5.0	11.0	SkatO	ALL_LOF_HC_LOFTEE	0.01	3	META-GROUP1
ZNF76	3.356670873742382	0.5000036198133155	0.3010268515454654	NA	0.472800838882726	0.394848	NA	6.0	17.0	SkatO	ALL_LOF_HC_LOFTEE	0.01	3	META-GROUP1
PAOX	3.3563928625691615	0.5000471741495647	0.300989022651129	NA	0.533232854731475	0.350148	NA	10.0	14.0	SkatO	ALL_LOF_HC_LOFTEE	0.01	3	META-GROUP1
COQ2	1.3858021967316443	0.500123056237415	0.30092312352497885	NA	0.500123056237415	NA	NA	4.0	NA	SkatO	ALL_LOF_HC_LOFTEE	0.01	3	META-GROUP1
GPHA2	1.3854424256557019	0.5002130292346161	0.3008450002284637	NA	0.500213029234616	NA	NA	5.0	NA	SkatO	ALL_LOF_HC_LOFTEE	0.01	3	META-GROUP1
H2BC17	1.3853705744981726	0.5002309999999999	0.30082939794784724	NA	NA	0.500231	NA	NA	7.0	SkatO	ALL_LOF_HC_LOFTEE	0.01	3	META-GROUP1
MYO1A	3.3550993401197546	0.5002498546951564	0.3008130288388793	0.322191	0.579877196246301	NA	4.0	18.0	NA	SkatO	ALL_LOF_HC_LOFTEE	0.01	3	META-GROUP1
CD160	1.3848158449338601	0.500369765705813	0.3007089399534824	NA	0.500369765705813	NA	NA	4.0	NA	SkatO	ALL_LOF_HC_LOFTEE	0.01	3	META-GROUP1
SLC6A14	1.3845671071861874	0.500432	0.3006549272378547	NA	NA	0.500432	NA	NA	4.0	SkatO	ALL_LOF_HC_LOFTEE	0.01	3	META-GROUP1
PEAK1	1.383529812164645	0.5006916151296611	0.30042968148587385	NA	0.500691615129661	NA	NA	5.0	NA	SkatO	ALL_LOF_HC_LOFTEE	0.01	3	META-GROUP1
KLK3	1.383529222539783	0.500691762739795	0.3004295534504619	NA	0.500691762739795	NA	NA	4.0	NA	SkatO	ALL_LOF_HC_LOFTEE	0.01	3	META-GROUP1
BTN1A1	3.352176308743799	0.5007080561215822	0.3004154209817535	NA	0.511826913413532	0.365562	NA	7.0	7.0	SkatO	ALL_LOF_HC_LOFTEE	0.01	3	META-GROUP1
KLF11	1.3829499893082418	0.5008367923941489	0.3003037745523654	NA	0.500836792394149	NA	NA	3.0	NA	SkatO	ALL_LOF_HC_LOFTEE	0.01	3	META-GROUP1
DNAJC28	3.3507065204877753	0.5009385557105948	0.30021554070427114	0.698307	0.268137112523247	NA	4.0	7.0	NA	SkatO	ALL_LOF_HC_LOFTEE	0.01	3	META-GROUP1
NSMF	3.3505728125310945	0.5009595278544106	0.3001973590419172	NA	0.50276423930015	0.37245	NA	3.0	6.0	SkatO	ALL_LOF_HC_LOFTEE	0.01	3	META-GROUP1
FAT2	1.3820277930700455	0.501067780547106	0.30010352218362496	NA	0.501067780547106	NA	NA	14.0	NA	SkatO	ALL_LOF_HC_LOFTEE	0.01	3	META-GROUP1
TEC	1.3819031852562162	0.501099	0.3000764639406509	NA	NA	0.501099	NA	NA	10.0	SkatO	ALL_LOF_HC_LOFTEE	0.01	3	META-GROUP1
UQCRC2	3.349486765842161	0.5011298956274608	0.3000496880203318	NA	0.283650057193965	0.660519	NA	5.0	11.0	SkatO	ALL_LOF_HC_LOFTEE	0.01	3	META-GROUP1
P2RY11	1.3816831663546423	0.501154128658061	0.3000286874432169	NA	0.501154128658061	NA	NA	8.0	NA	SkatO	ALL_LOF_HC_LOFTEE	0.01	3	META-GROUP1
CPEB3	1.3814876390930118	0.5012031257003021	0.2999862292378229	NA	0.501203125700302	NA	NA	3.0	NA	SkatO	ALL_LOF_HC_LOFTEE	0.01	3	META-GROUP1
SNTA1	1.3811210576596904	0.501295	0.29990662709099325	NA	NA	0.501295	NA	NA	9.0	SkatO	ALL_LOF_HC_LOFTEE	0.01	3	META-GROUP1
DDIT4	1.3808816919784594	0.5013550000000001	0.2998546494937353	NA	NA	0.501355	NA	NA	10.0	SkatO	ALL_LOF_HC_LOFTEE	0.01	3	META-GROUP1
IFT81	1.3807725095772407	0.5013823703184641	0.2998309408365502	NA	0.501382370318464	NA	NA	6.0	NA	SkatO	ALL_LOF_HC_LOFTEE	0.01	3	META-GROUP1
CCDC57	1.3807097278701579	0.5013981093860489	0.2998173079620751	NA	0.501398109386049	NA	NA	10.0	NA	SkatO	ALL_LOF_HC_LOFTEE	0.01	3	META-GROUP1
NAPSA	3.346232811020317	0.5016405655306895	0.299607351216827	NA	0.496528149776137	0.377947	NA	3.0	8.0	SkatO	ALL_LOF_HC_LOFTEE	0.01	3	META-GROUP1
NSUN4	3.346227785542653	0.5016413544789194	0.29960666818675147	NA	0.258768903032131	0.72521	NA	7.0	11.0	SkatO	ALL_LOF_HC_LOFTEE	0.01	3	META-GROUP1
SLC19A1	1.3788292356547263	0.5018697687099891	0.29940896426586294	NA	0.501869768709989	NA	NA	7.0	NA	SkatO	ALL_LOF_HC_LOFTEE	0.01	3	META-GROUP1
CD180	1.378781250201919	0.5018818100784922	0.29939854435717994	NA	0.501881810078492	NA	NA	5.0	NA	SkatO	ALL_LOF_HC_LOFTEE	0.01	3	META-GROUP1
FTSJ3	1.3784001860700938	0.5019774437669628	0.2993157973323288	NA	0.501977443766963	NA	NA	7.0	NA	SkatO	ALL_LOF_HC_LOFTEE	0.01	3	META-GROUP1
LRP12	3.343983261676237	0.5019938013173821	0.2993016455447752	NA	0.357518054694912	0.525491	NA	3.0	4.0	SkatO	ALL_LOF_HC_LOFTEE	0.01	3	META-GROUP1
ARHGAP9	1.3782479428612573	0.5020156565497551	0.2992827381395761	NA	0.502015656549755	NA	NA	11.0	NA	SkatO	ALL_LOF_HC_LOFTEE	0.01	3	META-GROUP1
MCM4	1.378234681796511	0.502018985191853	0.29927985853595446	NA	0.502018985191853	NA	NA	8.0	NA	SkatO	ALL_LOF_HC_LOFTEE	0.01	3	META-GROUP1
BCAS1	3.3435532819603724	0.5020613371245559	0.2992432216050776	NA	0.721983898092351	0.260273	NA	4.0	18.0	SkatO	ALL_LOF_HC_LOFTEE	0.01	3	META-GROUP1
PLEKHD1	1.3766496536420165	0.5024169999999999	0.2989356740453754	NA	NA	0.502417	NA	NA	5.0	SkatO	ALL_LOF_HC_LOFTEE	0.01	3	META-GROUP1
IL17B	3.341200952071287	0.502430914783996	0.2989236461278809	NA	0.188134061718519	1.0	NA	4.0	3.0	SkatO	ALL_LOF_HC_LOFTEE	0.01	3	META-GROUP1
ADGRF5	1.3762845001896349	0.5025087380254017	0.2988563819806669	NA	0.502508738025402	NA	NA	3.0	NA	SkatO	ALL_LOF_HC_LOFTEE	0.01	3	META-GROUP1
STIL	1.3761598977028529	0.5025400459198461	0.29882932489444614	NA	0.502540045919846	NA	NA	3.0	NA	SkatO	ALL_LOF_HC_LOFTEE	0.01	3	META-GROUP1
SAG	1.3757143944537122	0.5026519999999999	0.2987325850930605	NA	NA	0.502652	NA	NA	13.0	SkatO	ALL_LOF_HC_LOFTEE	0.01	3	META-GROUP1
HAVCR1	3.3396516401468332	0.5026744245649594	0.298713210560402	NA	0.452384843016876	0.416194	NA	6.0	8.0	SkatO	ALL_LOF_HC_LOFTEE	0.01	3	META-GROUP1
TGM4	1.3754173498236026	0.502726660582951	0.2986680826711926	NA	0.502726660582951	NA	NA	10.0	NA	SkatO	ALL_LOF_HC_LOFTEE	0.01	3	META-GROUP1
SETD4	1.3753683738653726	0.5027389714936501	0.2986574476769899	NA	0.50273897149365	NA	NA	10.0	NA	SkatO	ALL_LOF_HC_LOFTEE	0.01	3	META-GROUP1
NT5E	3.3389221007164522	0.5027891145714143	0.2986141333980583	NA	0.546900049280919	0.344393	NA	4.0	13.0	SkatO	ALL_LOF_HC_LOFTEE	0.01	3	META-GROUP1
LOC112268355	1.374898887072514	0.502857	0.29855549991525754	NA	NA	0.502857	NA	NA	8.0	SkatO	ALL_LOF_HC_LOFTEE	0.01	3	META-GROUP1
KIR2DS5	1.374898887072514	0.502857	0.29855549991525754	NA	NA	0.502857	NA	NA	8.0	SkatO	ALL_LOF_HC_LOFTEE	0.01	3	META-GROUP1
KIR3DS1	1.374898887072514	0.502857	0.29855549991525754	NA	NA	0.502857	NA	NA	8.0	SkatO	ALL_LOF_HC_LOFTEE	0.01	3	META-GROUP1
