GENE	TEST_STAT_WEIGHTEDZ	META_PVAL	-log10	AMP_NIH_PVAL	GNE_PVAL	UKB_CASE_PVAL	AMP_NIH_NUMVAR	GNE_NUMVAR	UKB_CASE_NUMVAR	TEST	VARIANT_GROUP	MAF	MIN_NUMVAR	META_ANALYSIS_GROUP
PPP4R4	0.4670745666983957	0.6404465298447948	0.19351712316005332	NA	0.438327481812385	0.151125	NA	3.0	5.0	CMCWald	ALL_LOF_HC_LOFTEE	0.001	2	META-GROUP2
PIK3AP1	0.4669156171718482	0.6405602514210251	0.19344001403950498	NA	0.446243884817996	0.919254	NA	2.0	2.0	CMCWald	ALL_LOF_HC_LOFTEE	0.001	2	META-GROUP2
TTC23	-0.4668043879261691	0.640639836200657	0.19338605957756574	NA	0.640639836200657	NA	NA	4.0	NA	CMCWald	ALL_LOF_HC_LOFTEE	0.001	2	META-GROUP2
TEX14	-0.4667998584935775	0.6406430771076027	0.19338386254834095	0.713899	0.769116814133309	NA	2.0	16.0	NA	CMCWald	ALL_LOF_HC_LOFTEE	0.001	2	META-GROUP2
IRAK2	0.4663352126769373	0.6409755776323893	0.19315851759748442	0.963385	0.539485180506879	NA	3.0	8.0	NA	CMCWald	ALL_LOF_HC_LOFTEE	0.001	2	META-GROUP2
FAN1	0.46623140527794465	0.6410498720513759	0.1931081821595317	0.883471	0.420288727484452	NA	2.0	7.0	NA	CMCWald	ALL_LOF_HC_LOFTEE	0.001	2	META-GROUP2
RAD50	0.46610492505820145	0.6411403981505686	0.19304685743054784	NA	0.153831720269782	0.443108	NA	14.0	12.0	CMCWald	ALL_LOF_HC_LOFTEE	0.001	2	META-GROUP2
FOXH1	-0.4660480424215049	0.6411811126851105	0.19301927917105313	NA	0.641181112685111	NA	NA	3.0	NA	CMCWald	ALL_LOF_HC_LOFTEE	0.001	2	META-GROUP2
C9orf129	0.46599396905377993	0.6412198174472187	0.19299306386784004	NA	0.641219817447218	NA	NA	2.0	NA	CMCWald	ALL_LOF_HC_LOFTEE	0.001	2	META-GROUP2
ZNF235	-0.46581039425204435	0.6413512243251492	0.1929040718661335	NA	0.641351224325149	NA	NA	8.0	NA	CMCWald	ALL_LOF_HC_LOFTEE	0.001	2	META-GROUP2
PITPNM1	-0.46578061145158967	0.6413725445678518	0.19288963498738546	NA	0.641372544567852	NA	NA	3.0	NA	CMCWald	ALL_LOF_HC_LOFTEE	0.001	2	META-GROUP2
OR10H1	-0.4656746367384765	0.6414484097652682	0.1928382672005816	NA	0.641448409765269	NA	NA	2.0	NA	CMCWald	ALL_LOF_HC_LOFTEE	0.001	2	META-GROUP2
ST8SIA5	-0.46529861289607727	0.6417176279901986	0.19265603047082028	0.86643	0.624249207881359	NA	2.0	4.0	NA	CMCWald	ALL_LOF_HC_LOFTEE	0.001	2	META-GROUP2
SLC49A3	-0.4652924628049241	0.6417220316042624	0.19265305025235177	NA	NA	0.641722	NA	NA	4.0	CMCWald	ALL_LOF_HC_LOFTEE	0.001	2	META-GROUP2
CDKL3	-0.46511757736272336	0.6418472590856619	0.1925683090471493	NA	0.56356829176504	0.936058	NA	10.0	8.0	CMCWald	ALL_LOF_HC_LOFTEE	0.001	2	META-GROUP2
GSTM2	0.46503807530747804	0.6419041902462134	0.19252978930268486	NA	0.641904190246214	NA	NA	4.0	NA	CMCWald	ALL_LOF_HC_LOFTEE	0.001	2	META-GROUP2
CYP2R1	0.4649628439729958	0.641958065095963	0.19249334061066048	NA	0.641958065095963	NA	NA	7.0	NA	CMCWald	ALL_LOF_HC_LOFTEE	0.001	2	META-GROUP2
CTSO	0.46495030218592975	0.6419670467348899	0.19248726443660866	0.641968	NA	NA	2.0	NA	NA	CMCWald	ALL_LOF_HC_LOFTEE	0.001	2	META-GROUP2
LYSMD2	-0.4648476275860375	0.6420405777937315	0.19243752309157572	NA	0.642040577793732	NA	NA	2.0	NA	CMCWald	ALL_LOF_HC_LOFTEE	0.001	2	META-GROUP2
DGAT2	-0.4646647687191264	0.6421715420090839	0.19234894421060356	NA	0.977633241032639	0.493235	NA	4.0	3.0	CMCWald	ALL_LOF_HC_LOFTEE	0.001	2	META-GROUP2
C10orf128	-0.46450203879193075	0.6422880991596183	0.1922701248754996	NA	0.642288099159618	NA	NA	3.0	NA	CMCWald	ALL_LOF_HC_LOFTEE	0.001	2	META-GROUP2
COPS4	-0.46446957900661084	0.6423113499020103	0.19225440375849384	NA	0.642311349902011	NA	NA	3.0	NA	CMCWald	ALL_LOF_HC_LOFTEE	0.001	2	META-GROUP2
ANGPTL5	0.46442123711887606	0.6423459775453819	0.1922309911423511	0.468194	0.945284152303841	NA	2.0	9.0	NA	CMCWald	ALL_LOF_HC_LOFTEE	0.001	2	META-GROUP2
CCDC86	-0.46425360941272564	0.6424660565034925	0.19214981252996274	NA	0.642466056503492	NA	NA	6.0	NA	CMCWald	ALL_LOF_HC_LOFTEE	0.001	2	META-GROUP2
CTRC	-0.4640703225834745	0.6425973634623616	0.19206106066451423	NA	0.642597363462361	NA	NA	2.0	NA	CMCWald	ALL_LOF_HC_LOFTEE	0.001	2	META-GROUP2
SNX14	0.4639386921740145	0.6426916705759463	0.19199732860421823	NA	0.430175401364338	0.894365	NA	8.0	5.0	CMCWald	ALL_LOF_HC_LOFTEE	0.001	2	META-GROUP2
MIPOL1	0.463787819722221	0.6427997708085357	0.19192428675717782	NA	0.439008534355065	0.906089	NA	5.0	5.0	CMCWald	ALL_LOF_HC_LOFTEE	0.001	2	META-GROUP2
TULP3	0.46377701214493744	0.6428075147366807	0.19191905476246293	0.952041	0.473976491091487	NA	2.0	8.0	NA	CMCWald	ALL_LOF_HC_LOFTEE	0.001	2	META-GROUP2
ME3	-0.4636964804369993	0.6428652191556892	0.19188007017468567	NA	0.642865219155689	NA	NA	6.0	NA	CMCWald	ALL_LOF_HC_LOFTEE	0.001	2	META-GROUP2
RRP8	0.46358900337909054	0.6429422344293106	0.19182804479825344	0.877893	0.615686183774591	NA	2.0	5.0	NA	CMCWald	ALL_LOF_HC_LOFTEE	0.001	2	META-GROUP2
OR1J1	-0.463481597954479	0.6430192022059285	0.19177605773276749	NA	0.643019202205929	NA	NA	2.0	NA	CMCWald	ALL_LOF_HC_LOFTEE	0.001	2	META-GROUP2
